entity_id,student_activity_code,student_activity_desc,student_particip_desc,activity_office_desc
806792,NULL,NULL,NULL,NULL
806797,NULL,NULL,NULL,NULL
806811,NULL,NULL,NULL,NULL
806863,NULL,NULL,NULL,NULL
806913,GAKP,Alpha Kappa Psi,Participated,NULL
807021,NULL,NULL,NULL,NULL
807091,NULL,NULL,NULL,NULL
807171,LCMS,SLCT-Math/Statistics,Participated,NULL
807171,LCSP,SLCP-Student Participants,Participated,NULL
807171,MSJZ,UC Jazz Ensembles,Participated,NULL
807171,UBPT,The Berkeley Project,Participated,NULL
807171,UERAP,Undergrad Research Apprentice Pgm (URAP),Participated,NULL
807171,UHAB,Habitat For Humanity-Berkeley Chapt,Participated,NULL
807182,GBTP,Beta Theta Pi,Participated,NULL
807182,LCSP,SLCP-Student Participants,Participated,NULL
807182,SSRG,AP Senior Class Gift Committee,Participated,NULL
807182,UCG,Campus Greens,Participated,NULL
807182,UPRG,Cal Public Interest Res Grp-CALPIRG,Participated,NULL
807226,GDUP,Delta Upsilon,Participated,NULL
807226,LCSP,SLCP-Student Participants,Participated,NULL
807235,EAESP,Education Abroad Program - Spain,Participated,NULL
807235,GKAT,Kappa Alpha Theta,Participated,NULL
807276,EAESP,Education Abroad Program - Spain,Participated,NULL
807276,RHI1,2003-2012 I-House Resident,Participated,NULL
807276,RHIH,International House Resident,Participated,NULL
807313,GLTN,Lambda Theta Nu Sorority,Participated,NULL
807313,GMGC,Multicultural Greek Council,Participated,NULL
807392,NULL,NULL,NULL,NULL
807428,EASGP,Education Abroad Program - Singapore,Participated,NULL
807428,LCSP,SLCP-Student Participants,Participated,NULL
807437,BUAB,Asian Business Association,Participated,Chair
807437,GSK,Sigma Kappa,Participated,NULL
807465,NULL,NULL,NULL,NULL
807560,NULL,NULL,NULL,NULL
807565,EAZAF,Education Abroad Program - South Africa,Participated,NULL
807565,LCSP,SLCP-Student Participants,Participated,NULL
807616,NULL,NULL,NULL,NULL
807634,GKKG,Kappa Kappa Gamma,Participated,NULL
807655,ENMS,Material Sci & Engin Assoc-MSEA,Participated,NULL
807655,LCSP,SLCP-Student Participants,Participated,NULL
807655,SCCC,Cal Corps Friends and Alumni,Leadership Role,NULL
807655,SCCC,Cal Corps Friends and Alumni,Participated,NULL
807655,UAB,Alternative (Spring/Winter) Breaks,Participated,NULL
807655,UABP,Alternative Breaks Publication Grp,Participated,NULL
807655,UBON,Bonner Leaders,Participated,NULL
807655,UKAR,Katrina Awareness & Relief Effort,Participated,NULL
807655,UKRC,Katrina Relief At Cal,Participated,NULL
807655,USUI,Suitcase Clinic,Participated,NULL
807713,LCSP,SLCP-Student Participants,Participated,NULL
807731,NULL,NULL,NULL,NULL
807773,NULL,NULL,NULL,NULL
807791,NULL,NULL,NULL,NULL
807799,NULL,NULL,NULL,NULL
807878,NULL,NULL,NULL,NULL
807912,NULL,NULL,NULL,NULL
807938,GAPS,Alpha Phi Sorority,Participated,NULL
807938,LCSP,SLCP-Student Participants,Participated,NULL
807994,EAITA,Education Abroad Program - Italy,Participated,NULL
807994,LCSP,SLCP-Student Participants,Participated,NULL
808028,NULL,NULL,NULL,NULL
808031,NULL,NULL,NULL,NULL
808046,NULL,NULL,NULL,NULL
808072,NULL,NULL,NULL,NULL
808076,NULL,NULL,NULL,NULL
808135,EASWE,Education Abroad Program - Sweden,Participated,NULL
808135,GPSP,Phi Sigma Pi Nat'l Honor Fraternity,Participated,NULL
808135,LCSP,SLCP-Student Participants,Participated,NULL
