entity_id,student_activity_code,student_activity_desc,student_particip_desc,activity_office_desc
786499,RHI9,1993-2002 I-House Resident,Participated,NULL
786499,RHIH,International House Resident,Participated,NULL
786589,ENBH,Bioengineering Honors Society,Participated,NULL
786589,GTBP,Tau Beta Pi Engineers' Honors Society,Participated,NULL
786813,LCSP,SLCP-Student Participants,Participated,NULL
786843,ASC,Athletic Study Center,Participated,NULL
786950,SCCC,Cal Corps Friends and Alumni,Participated,NULL
786950,UHAB,Habitat For Humanity-Berkeley Chapt,Participated,NULL
787103,NULL,NULL,NULL,NULL
787158,NULL,NULL,NULL,NULL
787322,DSPA,Disabled Student Program Alumni,Participated,User of Service
787322,EIT,TAP Transfer Alliance Project,Participated,NULL
787322,LCSP,SLCP-Student Participants,Participated,NULL
787528,DSPA,Disabled Student Program Alumni,Participated,User of Service
787528,GKKG,Kappa Kappa Gamma,Participated,NULL
787560,LCMS,SLCT-Math/Statistics,Participated,NULL
787562,GPKT,Phi Kappa Tau,Participated,NULL
787595,RHI4,1946-52 I-House Resident,Participated,NULL
787595,RHIH,International House Resident,Participated,NULL
787909,RHI9,1993-2002 I-House Resident,Participated,NULL
