entity_id,committee_code,committee_desc,committee_role_desc,unit_desc
519192,NULL,NULL,NULL,NULL
519262,NULL,NULL,NULL,NULL
519279,NULL,NULL,NULL,NULL
519288,NULL,NULL,NULL,NULL
519521,NULL,NULL,NULL,NULL
519792,NULL,NULL,NULL,NULL
519881,NULL,NULL,NULL,NULL
519923,NULL,NULL,NULL,NULL
519976,NULL,NULL,NULL,NULL
519986,NULL,NULL,NULL,NULL
520021,NULL,NULL,NULL,NULL
520045,NULL,NULL,NULL,NULL
520065,NULL,NULL,NULL,NULL
520130,NULL,NULL,NULL,NULL
