entity_id,committee_code,committee_desc,committee_role_desc,unit_desc
492972,NULL,NULL,NULL,NULL
493043,NULL,NULL,NULL,NULL
493050,NULL,NULL,NULL,NULL
493064,NULL,NULL,NULL,NULL
493076,NULL,NULL,NULL,NULL
493081,NULL,NULL,NULL,NULL
493097,NULL,NULL,NULL,NULL
493112,NULL,NULL,NULL,NULL
493137,NULL,NULL,NULL,NULL
493140,NULL,NULL,NULL,NULL
493146,NULL,NULL,NULL,NULL
493155,NULL,NULL,NULL,NULL
493236,NULL,NULL,NULL,NULL
493258,NULL,NULL,NULL,NULL
493266,NULL,NULL,NULL,NULL
493288,NULL,NULL,NULL,NULL
493292,NULL,NULL,NULL,NULL
493296,NULL,NULL,NULL,NULL
493319,NULL,NULL,NULL,NULL
493336,NULL,NULL,NULL,NULL
493338,NULL,NULL,NULL,NULL
493347,AU2,Haas Council,Member,Business
493347,MU11,Haas Reunion/Class Volunteer Committee,Member,Business
493358,NULL,NULL,NULL,NULL
493361,NULL,NULL,NULL,NULL
493362,NULL,NULL,NULL,NULL
493363,UVPC,The Cal Parents Ambassadors,Member,Parent Philanthropy & Engagement - UDAR
493368,NE1,Berkeley Engineering Fund Board,Board Member,Engineering
493381,NULL,NULL,NULL,NULL
493411,NULL,NULL,NULL,NULL
493433,NULL,NULL,NULL,NULL
493471,NULL,NULL,NULL,NULL
493493,NULL,NULL,NULL,NULL
493499,NULL,NULL,NULL,NULL
493513,NULL,NULL,NULL,NULL
493534,R1994,Class of 1994 Reunion Committee,Member,Milestone & Next Gen Philanthropy - UDAR
493561,NULL,NULL,NULL,NULL
493577,NULL,NULL,NULL,NULL
493584,NULL,NULL,NULL,NULL
493600,NULL,NULL,NULL,NULL
493613,NULL,NULL,NULL,NULL
493637,NULL,NULL,NULL,NULL
493667,NULL,NULL,NULL,NULL
493680,NULL,NULL,NULL,NULL
493697,NULL,NULL,NULL,NULL
493733,NULL,NULL,NULL,NULL
493739,NULL,NULL,NULL,NULL
493744,NULL,NULL,NULL,NULL
493794,NULL,NULL,NULL,NULL
493821,NULL,NULL,NULL,NULL
493831,NULL,NULL,NULL,NULL
493837,NULL,NULL,NULL,NULL
493851,NULL,NULL,NULL,NULL
493858,NULL,NULL,NULL,NULL
493890,NULL,NULL,NULL,NULL
