entity_id,affil_code,affil_code_desc,affil_level_code_desc,affil_status_desc
331405,MA3,Cal Advocate,Advocate,Current
331417,ATFAT,Friends of Athletics,Friend,Current
331417,CAFCA,Friends of CAA,Friend,Current
331417,MA3,Cal Advocate,Advocate,Current
331417,MB3,Big C Society,Member,Current
331417,URCR,@Cal Registrant,Member,Current
331424,CAFCA,Friends of CAA,Friend,Current
331424,URCR,@Cal Registrant,Member,Current
331450,CAFCA,Friends of CAA,Friend,Current
331450,MN7,California Alumni Foresters,Member,Former
331469,CAFCA,Friends of CAA,Friend,Current
331469,CAFPC,CAA Friends of Pinecrest,Member,Current
331469,CASRW,CAA Lair Sports and Recreation Weekend,Member,Current
331469,MA12,CAA Lair of the Golden Bear Camper,Member,Current
331469,MA12,CAA Lair of the Golden Bear Camper,Member,Former
331469,MO6,KALX Alumni and Volunteers,Member,Current
331505,CAFCA,Friends of CAA,Friend,Current
331505,MA3,Cal Advocate,Advocate,Former
331509,BAMFR,Followers of BAM/PFA,Member,Current
331509,CAFCA,Friends of CAA,Friend,Current
331509,MC2,Cal Performances Patrons,Patron,Former
331509,TLOLI,Osher Lifelong Learning Institute,Member,Current
331514,CAFCA,Friends of CAA,Friend,Current
331514,MA3,Cal Advocate,Advocate,Current
331514,URCR,@Cal Registrant,Member,Current
331516,ATFAT,Friends of Athletics,Friend,Current
331516,CAFCA,Friends of CAA,Friend,Current
