entity_id,committee_code,committee_desc,committee_role_desc,unit_desc
789815,NULL,NULL,NULL,NULL
789830,NULL,NULL,NULL,NULL
789868,NULL,NULL,NULL,NULL
789876,NULL,NULL,NULL,NULL
789900,NULL,NULL,NULL,NULL
789958,NULL,NULL,NULL,NULL
789969,NULL,NULL,NULL,NULL
789971,NULL,NULL,NULL,NULL
789979,NULL,NULL,NULL,NULL
790092,NULL,NULL,NULL,NULL
790104,NULL,NULL,NULL,NULL
790119,NULL,NULL,NULL,NULL
790125,NULL,NULL,NULL,NULL
790126,NULL,NULL,NULL,NULL
790131,NULL,NULL,NULL,NULL
790140,NULL,NULL,NULL,NULL
790149,NULL,NULL,NULL,NULL
790162,NULL,NULL,NULL,NULL
790216,NULL,NULL,NULL,NULL
790295,NULL,NULL,NULL,NULL
790477,NULL,NULL,NULL,NULL
790503,NULL,NULL,NULL,NULL
790508,BA1,CAA Board of Directors,Director,Cal Alumni Association
790527,NULL,NULL,NULL,NULL
790536,NULL,NULL,NULL,NULL
790545,NULL,NULL,NULL,NULL
790565,NULL,NULL,NULL,NULL
790583,BC2,Cal Perf Board of Trustees,Board Member,Cal Performances
790609,NULL,NULL,NULL,NULL
790631,NULL,NULL,NULL,NULL
790647,NULL,NULL,NULL,NULL
790650,NULL,NULL,NULL,NULL
790656,NULL,NULL,NULL,NULL
790689,NULL,NULL,NULL,NULL
790697,NULL,NULL,NULL,NULL
790716,NULL,NULL,NULL,NULL
790790,NULL,NULL,NULL,NULL
790792,NULL,NULL,NULL,NULL
790798,NULL,NULL,NULL,NULL
790834,NULL,NULL,NULL,NULL
790845,NULL,NULL,NULL,NULL
790849,NULL,NULL,NULL,NULL
790859,NULL,NULL,NULL,NULL
790880,NULL,NULL,NULL,NULL
790905,NULL,NULL,NULL,NULL
790938,NULL,NULL,NULL,NULL
790997,NULL,NULL,NULL,NULL
791013,NULL,NULL,NULL,NULL
791016,NULL,NULL,NULL,NULL
791018,NULL,NULL,NULL,NULL
791061,NULL,NULL,NULL,NULL
791095,NULL,NULL,NULL,NULL
791125,NULL,NULL,NULL,NULL
791129,NULL,NULL,NULL,NULL
791141,NULL,NULL,NULL,NULL
791273,NULL,NULL,NULL,NULL
791297,NULL,NULL,NULL,NULL
791306,NULL,NULL,NULL,NULL
791316,NULL,NULL,NULL,NULL
791317,NULL,NULL,NULL,NULL
791332,NULL,NULL,NULL,NULL
791342,NULL,NULL,NULL,NULL
791375,NULL,NULL,NULL,NULL
791398,NULL,NULL,NULL,NULL
791407,NULL,NULL,NULL,NULL
791411,NULL,NULL,NULL,NULL
791432,NULL,NULL,NULL,NULL
791442,NULL,NULL,NULL,NULL
791463,NULL,NULL,NULL,NULL
791472,NULL,NULL,NULL,NULL
791508,NULL,NULL,NULL,NULL
791518,NULL,NULL,NULL,NULL
791568,NULL,NULL,NULL,NULL
791883,NULL,NULL,NULL,NULL
792117,ERASC,Era Steering Committee,Member,Research Division
