entity_id,awd_honor_code,awd_honor_desc
607024,NULL,NULL
607026,CAG,CAA Robert G. & Ida W. Sproul Award
607026,PBK,Phi Beta Kappa
607038,NULL,NULL
607043,NULL,NULL
607058,NULL,NULL
607081,NULL,NULL
607098,NULL,NULL
607142,NULL,NULL
607157,NULL,NULL
607188,NULL,NULL
607205,NULL,NULL
607209,CAL,CAA Leadership Award Scholar
607213,NULL,NULL
607227,NULL,NULL
607249,NULL,NULL
607308,NULL,NULL
607369,NULL,NULL
607379,NULL,NULL
607390,NULL,NULL
607392,NULL,NULL
607396,NULL,NULL
607398,NULL,NULL
607419,NULL,NULL
607434,NULL,NULL
607453,CAL,CAA Leadership Award Scholar
607454,NULL,NULL
607502,NULL,NULL
607507,NULL,NULL
607519,NULL,NULL
607527,NULL,NULL
607529,NULL,NULL
607556,NULL,NULL
607619,NULL,NULL
607754,NULL,NULL
607792,PBK,Phi Beta Kappa
607843,NULL,NULL
607846,NULL,NULL
607857,NULL,NULL
607858,RCS,Regents'/Chancellor's Scholar Recipient
607865,NULL,NULL
607880,NULL,NULL
607883,NULL,NULL
607888,NULL,NULL
607943,NULL,NULL
607949,NULL,NULL
607951,NULL,NULL
607964,NULL,NULL
607970,NULL,NULL
608091,PBK,Phi Beta Kappa
608165,NULL,NULL
608256,NULL,NULL
608278,NULL,NULL
608281,NULL,NULL
608335,NULL,NULL
608381,NULL,NULL
608433,NULL,NULL
608483,NULL,NULL
608488,NULL,NULL
608508,NULL,NULL
608527,NULL,NULL
608648,NULL,NULL
608654,NULL,NULL
608656,NULL,NULL
608681,NULL,NULL
608720,NULL,NULL
608721,NULL,NULL
608727,NULL,NULL
608751,NULL,NULL
608787,NULL,NULL
608848,NULL,NULL
608894,CAL,CAA Leadership Award Scholar
608897,NULL,NULL
608900,NULL,NULL
608934,NULL,NULL
608970,NULL,NULL
608989,NULL,NULL
608991,NULL,NULL
609001,NULL,NULL
609003,NULL,NULL
609044,NULL,NULL
609049,NULL,NULL
609056,OTH,Other Award
609130,NULL,NULL
609140,BTC,BerkeleyLaw Trustee's Citation
609140,LWO,Order of the Coif
609140,TRC,Trustees' Citation
