entity_id,awd_honor_code,awd_honor_desc
597731,NULL,NULL
597737,NULL,NULL
597744,NULL,NULL
597745,NULL,NULL
597748,NULL,NULL
597791,NULL,NULL
597792,NULL,NULL
597793,NULL,NULL
597806,NULL,NULL
597824,NULL,NULL
597834,NULL,NULL
597845,NULL,NULL
597878,NULL,NULL
597881,NULL,NULL
597890,NULL,NULL
597898,NULL,NULL
597900,NULL,NULL
597902,NULL,NULL
597924,NULL,NULL
597929,NULL,NULL
597935,NULL,NULL
597951,RCS,Regents'/Chancellor's Scholar Recipient
597960,NULL,NULL
597961,NULL,NULL
597970,NULL,NULL
597976,NULL,NULL
598022,NULL,NULL
598025,NULL,NULL
598027,NULL,NULL
598046,PBK,Phi Beta Kappa
598069,NULL,NULL
598071,NULL,NULL
598091,NULL,NULL
598099,NULL,NULL
598100,NULL,NULL
598114,NULL,NULL
598119,NULL,NULL
598127,NULL,NULL
598151,NULL,NULL
598161,NULL,NULL
598167,NULL,NULL
598186,PBK,Phi Beta Kappa
598202,NULL,NULL
598226,NULL,NULL
598238,NULL,NULL
598262,NULL,NULL
598298,NULL,NULL
598311,NULL,NULL
598314,NULL,NULL
598316,NULL,NULL
598322,NULL,NULL
598330,NULL,NULL
598333,NULL,NULL
598341,NULL,NULL
598350,NULL,NULL
598356,NULL,NULL
598365,NULL,NULL
598367,NULL,NULL
598369,NULL,NULL
598372,NULL,NULL
598378,NULL,NULL
598383,NULL,NULL
598391,NULL,NULL
598399,NULL,NULL
598400,NULL,NULL
598405,NULL,NULL
598409,NULL,NULL
598417,NULL,NULL
598419,IAS,Incentive Awards Scholar. Recipient
598423,NULL,NULL
598426,NULL,NULL
598427,NULL,NULL
598430,NULL,NULL
598433,NULL,NULL
598434,NULL,NULL
598436,NULL,NULL
598438,NULL,NULL
598440,NULL,NULL
598449,NULL,NULL
598450,NULL,NULL
598461,NULL,NULL
598471,NULL,NULL
598472,NULL,NULL
598477,NULL,NULL
598480,NULL,NULL
598483,NULL,NULL
598486,NULL,NULL
598490,NULL,NULL
598495,NULL,NULL
598498,NULL,NULL
598501,NULL,NULL
598502,NULL,NULL
598506,NULL,NULL
598517,NULL,NULL
598521,NULL,NULL
598523,NULL,NULL
598531,NULL,NULL
598538,NULL,NULL
598559,NULL,NULL
598560,NULL,NULL
598571,NULL,NULL
598582,NULL,NULL
598594,NULL,NULL
598598,NULL,NULL
598602,NULL,NULL
598603,NULL,NULL
598606,NULL,NULL
598609,NULL,NULL
598616,NULL,NULL
598619,NULL,NULL
598624,NULL,NULL
598651,PBK,Phi Beta Kappa
598653,NULL,NULL
598664,NULL,NULL
598667,NULL,NULL
598687,NULL,NULL
598690,NULL,NULL
598701,NULL,NULL
598705,NULL,NULL
598720,NULL,NULL
598722,NULL,NULL
598742,NULL,NULL
598777,NULL,NULL
598794,NULL,NULL
598811,CAL,CAA Leadership Award Scholar
598840,NULL,NULL
598848,NULL,NULL
598870,NULL,NULL
598873,NULL,NULL
598950,CAM,Mark Bingham Young Alumnus/a Excellence
598968,NULL,NULL
598972,NULL,NULL
599008,NULL,NULL
599021,NULL,NULL
599024,NULL,NULL
599031,NULL,NULL
599039,NULL,NULL
599042,NULL,NULL
599047,NULL,NULL
599055,NULL,NULL
599093,NULL,NULL
599136,NULL,NULL
599148,NULL,NULL
599200,NULL,NULL
599222,NULL,NULL
599226,NULL,NULL
599256,NULL,NULL
599259,NULL,NULL
599269,NULL,NULL
599287,RCS,Regents'/Chancellor's Scholar Recipient
599295,NULL,NULL
599304,NULL,NULL
599307,NULL,NULL
599334,NULL,NULL
599354,NULL,NULL
599403,NULL,NULL
599407,NULL,NULL
599410,NULL,NULL
599412,NULL,NULL
599449,NULL,NULL
599463,NULL,NULL
599474,NULL,NULL
599571,NULL,NULL
599638,NULL,NULL
599665,NULL,NULL
599691,NULL,NULL
599750,NULL,NULL
599757,NULL,NULL
599789,NULL,NULL
