Subscriber Key,Click-Through Time,Link Clicked
10863,8/20/2020 9:43,https://calbears.com/news/2020/8/11/athletics-news-pac-12-postpones-sport-competitions-through-2020.aspx
13366,8/20/2020 9:10,https://calbears.com/news/2020/8/11/athletics-news-pac-12-postpones-sport-competitions-through-2020.aspx
191002,8/20/2020 12:44,https://calbears.com/news/2020/8/11/athletics-news-pac-12-postpones-sport-competitions-through-2020.aspx
21160,8/20/2020 9:20,https://calbears.com/news/2020/8/11/athletics-news-pac-12-postpones-sport-competitions-through-2020.aspx
22510,8/20/2020 22:24,https://calbears.com/news/2020/8/11/athletics-news-pac-12-postpones-sport-competitions-through-2020.aspx
25856,8/20/2020 12:34,https://calbears.com/news/2020/8/11/athletics-news-pac-12-postpones-sport-competitions-through-2020.aspx
264604,8/20/2020 9:21,https://calbears.com/news/2020/8/11/athletics-news-pac-12-postpones-sport-competitions-through-2020.aspx
29105,8/20/2020 9:28,https://calbears.com/news/2020/8/11/athletics-news-pac-12-postpones-sport-competitions-through-2020.aspx
30763,8/20/2020 13:29,https://calbears.com/news/2020/8/11/athletics-news-pac-12-postpones-sport-competitions-through-2020.aspx
324986,8/22/2020 11:06,https://calbears.com/news/2020/8/11/athletics-news-pac-12-postpones-sport-competitions-through-2020.aspx
35494,8/20/2020 9:14,https://calbears.com/news/2020/8/11/athletics-news-pac-12-postpones-sport-competitions-through-2020.aspx
399574,8/20/2020 14:25,https://calbears.com/news/2020/8/11/athletics-news-pac-12-postpones-sport-competitions-through-2020.aspx
424810,8/20/2020 9:07,https://calbears.com/news/2020/8/11/athletics-news-pac-12-postpones-sport-competitions-through-2020.aspx
47673,8/31/2020 20:39,https://calbears.com/news/2020/8/11/athletics-news-pac-12-postpones-sport-competitions-through-2020.aspx
478946,8/20/2020 17:20,https://calbears.com/news/2020/8/11/athletics-news-pac-12-postpones-sport-competitions-through-2020.aspx
580887,8/20/2020 9:19,https://calbears.com/news/2020/8/11/athletics-news-pac-12-postpones-sport-competitions-through-2020.aspx
704059,8/20/2020 12:32,https://calbears.com/news/2020/8/11/athletics-news-pac-12-postpones-sport-competitions-through-2020.aspx
730912,8/20/2020 9:01,https://calbears.com/news/2020/8/11/athletics-news-pac-12-postpones-sport-competitions-through-2020.aspx
803658,8/20/2020 9:13,https://calbears.com/news/2020/8/11/athletics-news-pac-12-postpones-sport-competitions-through-2020.aspx
98262,8/20/2020 9:15,https://calbears.com/news/2020/8/11/athletics-news-pac-12-postpones-sport-competitions-through-2020.aspx
3100389,8/20/2020 13:50,https://calbears.com/news/2020/8/11/athletics-news-pac-12-postpones-sport-competitions-through-2020.aspx
3162825,8/20/2020 15:26,https://calbears.com/news/2020/8/11/athletics-news-pac-12-postpones-sport-competitions-through-2020.aspx
1009623,8/20/2020 9:33,https://calbears.com/news/2020/8/11/athletics-news-pac-12-postpones-sport-competitions-through-2020.aspx
139250,8/20/2020 14:54,https://calbears.com/news/2020/8/11/athletics-news-pac-12-postpones-sport-competitions-through-2020.aspx
272148,8/20/2020 9:45,https://calbears.com/news/2020/8/11/athletics-news-pac-12-postpones-sport-competitions-through-2020.aspx
3007124,8/20/2020 14:20,https://calbears.com/news/2020/8/11/athletics-news-pac-12-postpones-sport-competitions-through-2020.aspx
312066,8/20/2020 15:32,https://calbears.com/news/2020/8/11/athletics-news-pac-12-postpones-sport-competitions-through-2020.aspx
357107,8/24/2020 6:41,https://calbears.com/news/2020/8/11/athletics-news-pac-12-postpones-sport-competitions-through-2020.aspx
407589,8/20/2020 9:36,https://calbears.com/news/2020/8/11/athletics-news-pac-12-postpones-sport-competitions-through-2020.aspx
456726,8/20/2020 9:20,https://calbears.com/news/2020/8/11/athletics-news-pac-12-postpones-sport-competitions-through-2020.aspx
459328,8/20/2020 9:05,https://calbears.com/news/2020/8/11/athletics-news-pac-12-postpones-sport-competitions-through-2020.aspx
491325,8/20/2020 12:27,https://calbears.com/news/2020/8/11/athletics-news-pac-12-postpones-sport-competitions-through-2020.aspx
589700,8/20/2020 10:11,https://calbears.com/news/2020/8/11/athletics-news-pac-12-postpones-sport-competitions-through-2020.aspx
616677,8/20/2020 9:02,https://calbears.com/news/2020/8/11/athletics-news-pac-12-postpones-sport-competitions-through-2020.aspx
742222,8/20/2020 10:50,https://calbears.com/news/2020/8/11/athletics-news-pac-12-postpones-sport-competitions-through-2020.aspx
805174,8/20/2020 13:40,https://calbears.com/news/2020/8/11/athletics-news-pac-12-postpones-sport-competitions-through-2020.aspx
815416,8/20/2020 10:14,https://calbears.com/news/2020/8/11/athletics-news-pac-12-postpones-sport-competitions-through-2020.aspx
855445,8/21/2020 0:10,https://calbears.com/news/2020/8/11/athletics-news-pac-12-postpones-sport-competitions-through-2020.aspx
9268,8/20/2020 17:51,https://calbears.com/news/2020/8/11/athletics-news-pac-12-postpones-sport-competitions-through-2020.aspx
23400,8/20/2020 10:23,https://calbears.com/news/2020/8/11/athletics-news-pac-12-postpones-sport-competitions-through-2020.aspx
291951,8/20/2020 16:00,https://calbears.com/news/2020/8/11/athletics-news-pac-12-postpones-sport-competitions-through-2020.aspx
