Subscriber Key,Click-Through Time,Link Clicked
11419,8/6/2020 15:03,https://news.berkeley.edu/2020/07/30/what-new-uc-berkeley-students-need-to-know-about-fall-2020/
16069,8/6/2020 9:52,https://news.berkeley.edu/2020/07/30/what-new-uc-berkeley-students-need-to-know-about-fall-2020/
16407,8/7/2020 22:31,https://news.berkeley.edu/2020/07/30/what-new-uc-berkeley-students-need-to-know-about-fall-2020/
19317,8/6/2020 9:49,https://news.berkeley.edu/2020/07/30/what-new-uc-berkeley-students-need-to-know-about-fall-2020/
19482,8/6/2020 9:37,https://news.berkeley.edu/2020/07/30/what-new-uc-berkeley-students-need-to-know-about-fall-2020/
20878,8/6/2020 11:49,https://news.berkeley.edu/2020/07/30/what-new-uc-berkeley-students-need-to-know-about-fall-2020/
227847,8/6/2020 9:24,https://news.berkeley.edu/2020/07/30/what-new-uc-berkeley-students-need-to-know-about-fall-2020/
246284,8/6/2020 9:10,https://news.berkeley.edu/2020/07/30/what-new-uc-berkeley-students-need-to-know-about-fall-2020/
275947,8/6/2020 11:07,https://news.berkeley.edu/2020/07/30/what-new-uc-berkeley-students-need-to-know-about-fall-2020/
27726,8/6/2020 9:31,https://news.berkeley.edu/2020/07/30/what-new-uc-berkeley-students-need-to-know-about-fall-2020/
291533,8/6/2020 9:13,https://news.berkeley.edu/2020/07/30/what-new-uc-berkeley-students-need-to-know-about-fall-2020/
295082,8/6/2020 23:12,https://news.berkeley.edu/2020/07/30/what-new-uc-berkeley-students-need-to-know-about-fall-2020/
303722,8/6/2020 9:57,https://news.berkeley.edu/2020/07/30/what-new-uc-berkeley-students-need-to-know-about-fall-2020/
324986,8/8/2020 18:53,https://news.berkeley.edu/2020/07/30/what-new-uc-berkeley-students-need-to-know-about-fall-2020/
36849,8/8/2020 10:03,https://news.berkeley.edu/2020/07/30/what-new-uc-berkeley-students-need-to-know-about-fall-2020/
39367,8/6/2020 22:13,https://news.berkeley.edu/2020/07/30/what-new-uc-berkeley-students-need-to-know-about-fall-2020/
3972,8/6/2020 18:41,https://news.berkeley.edu/2020/07/30/what-new-uc-berkeley-students-need-to-know-about-fall-2020/
4330,8/7/2020 21:38,https://news.berkeley.edu/2020/07/30/what-new-uc-berkeley-students-need-to-know-about-fall-2020/
