Subscriber Key,Click-Through Time,Link Clicked
844776,4/6/2020 9:31,http://alumni.berkeley.edu/membership/benefits/mercer-insurance?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
268805,4/6/2020 9:41,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
275343,4/6/2020 9:50,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
324986,5/9/2020 13:58,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
813367,4/6/2020 9:34,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
1017756,5/6/2020 18:03,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
3009403,4/6/2020 17:44,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
341021,4/6/2020 12:11,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
844776,4/6/2020 9:31,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
1003756,4/6/2020 9:35,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
111841,4/6/2020 9:57,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
434890,4/8/2020 23:58,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
455491,4/6/2020 17:07,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
336981,4/6/2020 11:35,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
703958,4/6/2020 10:46,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
132226,4/6/2020 15:41,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
305427,4/6/2020 15:09,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
3189529,4/6/2020 9:37,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
34907,4/6/2020 11:08,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
388466,4/6/2020 11:00,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
495576,4/7/2020 18:51,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
691230,4/6/2020 9:41,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
800653,4/6/2020 10:55,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
1023,4/6/2020 9:37,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
13793,4/7/2020 8:14,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
17248,4/10/2020 11:17,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
238946,4/6/2020 9:36,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
268724,4/6/2020 18:09,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
296362,4/6/2020 9:34,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
340794,4/6/2020 10:27,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
389402,4/6/2020 9:54,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
39661,4/6/2020 10:22,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
432824,4/6/2020 16:43,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
469379,4/6/2020 9:33,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
491035,4/6/2020 9:35,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
6790,4/6/2020 11:04,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
713479,4/6/2020 10:39,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
939210,4/6/2020 9:39,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
494425,4/6/2020 14:12,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
126486,4/6/2020 9:43,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
227403,4/13/2020 19:12,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
326700,4/6/2020 11:15,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
463586,4/6/2020 9:40,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
3408463,4/7/2020 7:43,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
3428731,4/6/2020 10:13,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
3011246,4/6/2020 9:38,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
420687,4/6/2020 9:45,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
1018160,4/6/2020 9:54,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
12546,4/6/2020 13:58,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
10267,4/6/2020 10:55,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
317372,4/6/2020 13:04,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
324326,4/6/2020 10:55,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
3111878,4/13/2020 15:14,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
241346,4/6/2020 11:40,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
256843,4/6/2020 23:15,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
741332,4/7/2020 8:04,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
629303,4/6/2020 14:55,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
13899,4/6/2020 14:01,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
233566,4/7/2020 20:49,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
513299,4/6/2020 9:52,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
402463,4/6/2020 9:53,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
102254,4/6/2020 9:51,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
233775,4/6/2020 13:15,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
248867,4/6/2020 17:48,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
257318,4/6/2020 10:22,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
279453,4/13/2020 17:10,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
290116,4/6/2020 11:23,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
293654,4/6/2020 11:56,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
300666,4/6/2020 10:02,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
3110124,4/23/2020 1:35,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
335820,4/6/2020 9:38,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
382259,4/6/2020 20:23,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
38843,4/6/2020 10:46,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
689085,4/6/2020 10:15,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
704281,4/6/2020 10:59,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
99039,4/6/2020 9:35,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
104423,4/6/2020 12:45,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
155274,4/16/2020 18:19,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
158901,4/6/2020 10:26,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
185236,4/7/2020 16:51,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
242219,4/6/2020 14:56,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
3078415,4/6/2020 9:49,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
315466,4/7/2020 22:00,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
36573,4/6/2020 9:42,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
394761,4/6/2020 11:57,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
431802,4/6/2020 22:37,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
464035,4/6/2020 11:42,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
469975,4/6/2020 15:59,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
672832,4/8/2020 2:38,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
70644,4/7/2020 12:35,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
102371,4/6/2020 11:45,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
3196,4/6/2020 18:00,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
12964,4/6/2020 14:10,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
314269,4/6/2020 14:17,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
311775,4/6/2020 10:52,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
3403611,4/6/2020 9:43,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
95182,4/7/2020 11:52,https://alumni.berkeley.edu/announcements/caa-announcements/share-memory-berkeley?utm_source=calcon&utm_medium=email&utm_campaign=cal_connection_apr_20
