entity_id,sport_code,sport_desc
871762,NULL,NULL
871763,NULL,NULL
871775,NULL,NULL
871779,NULL,NULL
871784,NULL,NULL
871786,NULL,NULL
871788,NULL,NULL
871789,NULL,NULL
871790,NULL,NULL
871794,NULL,NULL
871800,NULL,NULL
871801,NULL,NULL
871803,NULL,NULL
871806,NULL,NULL
871809,NULL,NULL
871813,NULL,NULL
871815,NULL,NULL
871817,NULL,NULL
871826,NULL,NULL
871828,NULL,NULL
871829,NULL,NULL
871837,NULL,NULL
871840,NULL,NULL
871842,NULL,NULL
871843,NULL,NULL
871845,NULL,NULL
871847,NULL,NULL
871848,NULL,NULL
871849,NULL,NULL
871853,NULL,NULL
871855,NULL,NULL
871859,NULL,NULL
871861,RSCY,Cal Cycling Club
871862,NULL,NULL
871864,NULL,NULL
871866,NULL,NULL
871868,NULL,NULL
871869,NULL,NULL
871873,NULL,NULL
871875,NULL,NULL
871878,NULL,NULL
871880,NULL,NULL
871882,NULL,NULL
871885,NULL,NULL
871886,NULL,NULL
871889,NULL,NULL
871892,NULL,NULL
871893,NULL,NULL
871894,NULL,NULL
871896,NULL,NULL
871897,NULL,NULL
871899,NULL,NULL
871900,NULL,NULL
871901,NULL,NULL
871905,NULL,NULL
871910,NULL,NULL
871914,NULL,NULL
871916,NULL,NULL
871919,NULL,NULL
871920,NULL,NULL
871922,NULL,NULL
871927,NULL,NULL
871928,NULL,NULL
871930,NULL,NULL
871931,NULL,NULL
871936,NULL,NULL
871942,NULL,NULL
871944,NULL,NULL
871946,NULL,NULL
871948,NULL,NULL
871953,NULL,NULL
871959,NULL,NULL
871960,NULL,NULL
871961,NULL,NULL
871962,NULL,NULL
871963,NULL,NULL
871965,NULL,NULL
871967,NULL,NULL
871968,NULL,NULL
871969,NULL,NULL
871970,NULL,NULL
871971,NULL,NULL
871973,NULL,NULL
871974,NULL,NULL
871976,NULL,NULL
871977,NULL,NULL
871978,NULL,NULL
871979,NULL,NULL
871980,NULL,NULL
871983,NULL,NULL
871984,NULL,NULL
871988,NULL,NULL
871989,NULL,NULL
871991,NULL,NULL
872001,NULL,NULL
872003,NULL,NULL
872004,NULL,NULL
872005,NULL,NULL
872007,NULL,NULL
872009,NULL,NULL
872013,NULL,NULL
872014,NULL,NULL
872016,NULL,NULL
872017,NULL,NULL
872019,NULL,NULL
872021,NULL,NULL
872022,NULL,NULL
872025,NULL,NULL
872026,NULL,NULL
872028,NULL,NULL
872029,NULL,NULL
872032,NULL,NULL
872035,NULL,NULL
872036,NULL,NULL
872043,NULL,NULL
872047,NULL,NULL
872049,NULL,NULL
872050,NULL,NULL
872054,NULL,NULL
872057,NULL,NULL
872059,NULL,NULL
872061,NULL,NULL
872065,NULL,NULL
872067,NULL,NULL
872068,NULL,NULL
872069,NULL,NULL
872070,NULL,NULL
872072,NULL,NULL
872073,NULL,NULL
872075,NULL,NULL
872077,NULL,NULL
872080,NULL,NULL
872082,NULL,NULL
872083,NULL,NULL
872088,NULL,NULL
872090,NULL,NULL
872091,NULL,NULL
872092,NULL,NULL
872093,NULL,NULL
872096,NULL,NULL
872097,NULL,NULL
872098,NULL,NULL
872103,NULL,NULL
872105,NULL,NULL
872107,NULL,NULL
872108,NULL,NULL
872109,NULL,NULL
872111,NULL,NULL
872113,NULL,NULL
872114,NULL,NULL
872115,NULL,NULL
872122,NULL,NULL
872124,NULL,NULL
872125,NULL,NULL
872126,NULL,NULL
872127,NULL,NULL
872128,NULL,NULL
872133,NULL,NULL
872135,NULL,NULL
872137,NULL,NULL
872140,NULL,NULL
872141,NULL,NULL
872144,NULL,NULL
872145,NULL,NULL
872148,NULL,NULL
872158,NULL,NULL
872161,NULL,NULL
872162,NULL,NULL
872164,NULL,NULL
872165,NULL,NULL
872167,NULL,NULL
872168,NULL,NULL
872171,NULL,NULL
872174,NULL,NULL
872176,NULL,NULL
872177,NULL,NULL
872186,NULL,NULL
872187,NULL,NULL
872192,NULL,NULL
872194,NULL,NULL
872197,NULL,NULL
872199,NULL,NULL
872202,NULL,NULL
872203,NULL,NULL
872204,NULL,NULL
872205,NULL,NULL
872208,NULL,NULL
872209,NULL,NULL
872211,NULL,NULL
872212,NULL,NULL
872214,NULL,NULL
872216,NULL,NULL
872223,NULL,NULL
872224,NULL,NULL
872230,NULL,NULL
872231,NULL,NULL
872233,NULL,NULL
872234,NULL,NULL
872237,NULL,NULL
872239,NULL,NULL
872241,NULL,NULL
872243,NULL,NULL
872245,NULL,NULL
872246,NULL,NULL
872247,NULL,NULL
872248,NULL,NULL
872249,NULL,NULL
872251,NULL,NULL
872252,NULL,NULL
872254,NULL,NULL
872255,NULL,NULL
872256,NULL,NULL
872261,NULL,NULL
872267,NULL,NULL
872269,NULL,NULL
872270,NULL,NULL
872275,NULL,NULL
872277,NULL,NULL
872279,NULL,NULL
872282,NULL,NULL
872285,NULL,NULL
872286,NULL,NULL
872288,NULL,NULL
872289,NULL,NULL
872292,NULL,NULL
872294,NULL,NULL
872296,NULL,NULL
872302,NULL,NULL
872304,NULL,NULL
872309,NULL,NULL
872312,NULL,NULL
872314,NULL,NULL
872317,NULL,NULL
872318,NULL,NULL
872320,NULL,NULL
872328,NULL,NULL
872332,NULL,NULL
872336,NULL,NULL
872337,NULL,NULL
872339,NULL,NULL
872340,NULL,NULL
872341,NULL,NULL
872342,NULL,NULL
872343,NULL,NULL
872345,NULL,NULL
872346,NULL,NULL
872347,NULL,NULL
872348,NULL,NULL
872349,NULL,NULL
872350,NULL,NULL
872353,NULL,NULL
872357,NULL,NULL
872361,NULL,NULL
872364,NULL,NULL
872366,NULL,NULL
872367,NULL,NULL
872368,NULL,NULL
872370,NULL,NULL
872371,NULL,NULL
872373,RSTC,Cal Triathlon Club
872375,NULL,NULL
872377,NULL,NULL
872378,NULL,NULL
872379,NULL,NULL
872383,NULL,NULL
872386,NULL,NULL
872387,NULL,NULL
872388,NULL,NULL
872389,NULL,NULL
872394,NULL,NULL
872399,NULL,NULL
872400,NULL,NULL
872403,NULL,NULL
872404,NULL,NULL
872406,NULL,NULL
872407,NULL,NULL
872409,NULL,NULL
872410,NULL,NULL
872413,NULL,NULL
872416,NULL,NULL
872417,NULL,NULL
872421,NULL,NULL
872424,NULL,NULL
872425,NULL,NULL
872427,NULL,NULL
872428,NULL,NULL
872429,NULL,NULL
872430,NULL,NULL
872432,NULL,NULL
872433,NULL,NULL
872435,NULL,NULL
872436,NULL,NULL
872437,NULL,NULL
872441,NULL,NULL
872446,NULL,NULL
872447,NULL,NULL
872448,NULL,NULL
872449,NULL,NULL
872450,NULL,NULL
872452,NULL,NULL
872454,NULL,NULL
872455,NULL,NULL
872456,NULL,NULL
872458,NULL,NULL
872460,NULL,NULL
872464,NULL,NULL
872465,NULL,NULL
872466,NULL,NULL
872469,NULL,NULL
872473,NULL,NULL
872474,NULL,NULL
872477,NULL,NULL
872480,NULL,NULL
872485,NULL,NULL
