Subscriber Key,Time Opened
110471,3/2/2020 16:35
115256,3/3/2020 12:59
118489,3/3/2020 10:46
1207,3/2/2020 10:49
12291,3/2/2020 10:55
12689,3/2/2020 20:41
1381,3/2/2020 11:31
144297,3/2/2020 10:17
149416,3/2/2020 11:39
1511,3/2/2020 10:38
160091,3/3/2020 1:34
19356,3/2/2020 9:53
19819,3/2/2020 10:46
20350,3/2/2020 10:06
20987,3/2/2020 11:28
222,3/2/2020 11:42
22853,3/2/2020 11:40
23616,3/2/2020 11:17
240536,3/2/2020 12:46
246322,3/2/2020 9:39
248747,3/2/2020 12:45
254994,3/2/2020 11:27
260,3/2/2020 15:18
270468,3/2/2020 12:17
27372,3/2/2020 10:09
275875,3/5/2020 13:29
292966,3/2/2020 9:34
293821,3/2/2020 9:54
29826,3/2/2020 10:07
309243,3/2/2020 11:09
316768,3/2/2020 9:52
318066,3/2/2020 10:29
318921,3/2/2020 17:50
324946,3/2/2020 12:10
325904,3/2/2020 10:41
327095,3/2/2020 9:30
329445,3/2/2020 19:41
33217,3/2/2020 17:27
33220,3/2/2020 14:55
333854,3/2/2020 21:01
33439,3/2/2020 9:54
34380,3/9/2020 19:27
35212,3/2/2020 12:31
35725,3/2/2020 10:56
36562,3/2/2020 9:36
37348,3/2/2020 11:44
37683,3/2/2020 9:46
380795,3/2/2020 10:18
382738,3/2/2020 11:36
389804,3/2/2020 9:34
389977,3/2/2020 10:20
390185,3/2/2020 9:46
39284,3/2/2020 9:44
395691,3/2/2020 13:52
39681,3/2/2020 9:32
397437,3/2/2020 12:59
407222,3/2/2020 14:52
411541,3/2/2020 10:55
432087,3/4/2020 22:29
441668,3/2/2020 10:49
449736,3/2/2020 9:44
452963,3/2/2020 17:37
465481,3/3/2020 16:51
475744,3/4/2020 1:02
479229,3/2/2020 12:38
483577,3/2/2020 9:57
491195,3/2/2020 9:33
493440,3/2/2020 10:00
496,3/2/2020 10:28
509462,3/2/2020 21:00
517,3/4/2020 15:25
55641,3/2/2020 14:08
582724,3/2/2020 10:26
586273,3/2/2020 20:26
588827,3/2/2020 10:01
592567,3/2/2020 9:39
601759,3/3/2020 6:32
613864,3/2/2020 9:40
614465,3/2/2020 9:35
617878,3/3/2020 0:02
622573,3/2/2020 12:20
628363,3/22/2020 2:18
636202,3/2/2020 10:46
645594,3/2/2020 9:33
6640,3/2/2020 10:06
672216,3/2/2020 10:33
673476,3/2/2020 11:16
673940,3/9/2020 21:54
