Subscriber Key,Time Opened
622632,8/20/2020 10:39 PM
276411,8/20/2020 5:30 PM
954795,8/20/2020 9:01 AM
100220,8/20/2020 9:35 AM
1003901,8/20/2020 9:01 AM
10082,8/21/2020 12:20 AM
1018349,8/21/2020 12:17 AM
102426,8/20/2020 4:34 PM
105201,8/20/2020 9:32 AM
106716,8/20/2020 9:27 AM
10774,8/20/2020 10:29 AM
10863,8/20/2020 9:42 AM
10901,8/20/2020 3:07 PM
1103,8/20/2020 8:50 PM
11068,8/20/2020 10:45 AM
11206,8/20/2020 9:48 AM
11408,8/20/2020 9:02 AM
11444,8/20/2020 1:13 PM
1151,8/20/2020 10:05 AM
115397,8/21/2020 7:51 AM
116100,8/20/2020 11:36 AM
11659,8/20/2020 4:09 PM
117380,8/20/2020 11:55 AM
11880,8/20/2020 3:19 PM
1207,8/20/2020 9:31 AM
121397,8/20/2020 10:43 AM
12229,8/20/2020 1:42 PM
122817,8/20/2020 10:35 AM
123455,8/20/2020 10:10 AM
12485,8/20/2020 12:36 PM
125055,8/20/2020 9:54 AM
126006,8/25/2020 2:21 PM
126837,8/20/2020 9:31 AM
12892,8/20/2020 9:57 AM
129805,8/20/2020 11:00 AM
130139,8/20/2020 11:54 AM
130847,8/21/2020 7:35 PM
132748,8/20/2020 9:28 AM
13361,8/20/2020 2:19 PM
133676,8/30/2020 9:40 AM
135587,8/20/2020 4:13 PM
13695,8/20/2020 9:05 AM
137482,8/20/2020 10:42 PM
13854,8/20/2020 9:27 AM
139259,8/20/2020 9:44 AM
139563,8/20/2020 10:42 AM
142257,8/20/2020 4:35 PM
1428,8/20/2020 12:34 PM
14380,8/20/2020 9:03 AM
144723,8/20/2020 10:54 AM
14587,8/20/2020 9:00 AM
147022,8/23/2020 10:29 AM
148312,8/20/2020 1:14 PM
14856,8/20/2020 9:45 AM
15029,8/20/2020 10:26 AM
15032,8/20/2020 5:03 PM
15078,8/20/2020 9:24 AM
15131,8/20/2020 9:06 AM
152387,8/20/2020 10:56 AM
15333,8/23/2020 9:52 PM
154728,8/20/2020 9:02 AM
15614,8/20/2020 9:07 AM
15687,8/20/2020 5:15 PM
1581,8/20/2020 10:58 AM
15928,8/20/2020 12:47 PM
