Subscriber Key,Time Opened
795333,7/23/2020 9:00 AM
110471,7/23/2020 2:13 PM
1207,7/23/2020 9:31 AM
12291,7/23/2020 9:01 AM
124503,7/23/2020 10:25 AM
142257,7/23/2020 5:44 PM
14312,7/23/2020 12:04 PM
14587,7/23/2020 9:00 AM
149416,7/23/2020 12:43 PM
179755,7/23/2020 9:02 AM
19804,7/23/2020 11:12 AM
202073,7/23/2020 10:16 AM
20350,7/24/2020 9:20 AM
20876,7/24/2020 5:36 PM
217657,7/23/2020 11:33 AM
221540,7/26/2020 10:30 PM
23616,7/30/2020 11:33 PM
244879,7/23/2020 9:25 AM
248329,7/23/2020 9:43 AM
252576,7/23/2020 9:01 AM
256170,7/23/2020 11:21 AM
260,7/23/2020 12:19 PM
270468,7/23/2020 2:30 PM
27372,7/23/2020 12:53 PM
28491,7/23/2020 10:02 AM
293821,7/23/2020 9:59 AM
29826,7/23/2020 9:41 AM
30381,7/23/2020 7:37 PM
314864,7/23/2020 9:34 AM
317070,7/23/2020 9:24 AM
318066,7/23/2020 11:27 AM
319819,7/23/2020 9:16 AM
32359,7/23/2020 9:19 AM
325840,7/23/2020 10:06 AM
327070,7/23/2020 9:05 AM
328804,7/23/2020 2:37 PM
329998,7/23/2020 11:29 AM
33261,7/23/2020 9:28 AM
33442,7/23/2020 5:17 PM
34515,7/23/2020 4:17 PM
35166,7/23/2020 9:52 AM
35494,7/23/2020 11:15 AM
368395,7/25/2020 9:44 AM
374582,7/23/2020 9:22 AM
37683,7/23/2020 10:26 AM
380795,7/23/2020 9:54 AM
382340,7/23/2020 9:00 AM
382738,7/23/2020 10:43 AM
383525,7/23/2020 3:11 PM
386862,7/23/2020 1:57 PM
389804,7/23/2020 12:25 PM
395691,7/23/2020 9:01 AM
39718,7/23/2020 10:59 AM
402338,7/23/2020 11:22 AM
406595,7/23/2020 9:00 AM
410058,7/24/2020 7:11 AM
416739,7/23/2020 1:11 PM
426727,7/23/2020 11:33 AM
438884,7/23/2020 4:26 PM
443044,7/23/2020 11:25 AM
444345,7/23/2020 9:03 AM
449736,7/23/2020 9:03 PM
454531,7/23/2020 9:47 AM
457379,7/24/2020 11:41 PM
472545,7/23/2020 10:19 AM
47673,7/23/2020 12:35 PM
479229,7/23/2020 6:57 PM
489566,7/23/2020 9:13 AM
491963,7/23/2020 9:11 AM
495455,7/23/2020 1:01 PM
517,7/23/2020 5:49 PM
519521,7/23/2020 10:07 AM
55641,7/23/2020 9:54 AM
584578,7/23/2020 3:45 PM
586273,7/23/2020 2:02 PM
592567,7/23/2020 9:01 AM
595770,7/23/2020 8:44 PM
614131,7/23/2020 9:34 AM
6193,7/23/2020 9:00 AM
622573,7/23/2020 10:03 AM
628363,7/29/2020 1:46 AM
643685,7/23/2020 9:40 AM
664653,7/23/2020 9:10 AM
673476,7/23/2020 1:22 PM
692407,7/24/2020 12:24 AM
713275,7/23/2020 11:16 AM
721477,7/23/2020 9:09 AM
746677,7/23/2020 9:00 AM
758512,7/26/2020 4:13 PM
766977,7/23/2020 9:01 AM
77386,7/23/2020 12:39 PM
823593,7/23/2020 9:00 AM
8301,7/23/2020 9:42 AM
833816,7/23/2020 9:56 AM
86363,7/23/2020 9:28 AM
88767,7/23/2020 1:44 PM
9375,7/23/2020 9:46 AM
96929,7/23/2020 9:02 AM
986505,7/23/2020 9:33 AM
912182,7/23/2020 10:25 AM
3099409,7/23/2020 9:00 AM
3109816,7/23/2020 9:00 AM
3119111,7/23/2020 9:57 AM
3156286,7/23/2020 9:22 AM
3161511,7/23/2020 2:47 PM
3205897,7/24/2020 2:55 PM
3208162,7/23/2020 9:00 AM
3216083,7/23/2020 9:37 AM
3216089,7/23/2020 9:04 AM
14460,7/23/2020 9:19 AM
178652,7/23/2020 5:36 PM
341167,7/24/2020 2:46 AM
36013,7/23/2020 10:32 AM
432185,7/23/2020 7:09 PM
484666,7/23/2020 7:50 PM
616677,7/23/2020 10:24 AM
680876,7/24/2020 1:39 AM
749336,7/23/2020 11:18 PM
934155,7/23/2020 9:00 AM
972774,7/23/2020 4:44 PM
3042754,7/23/2020 9:00 AM
358123,7/27/2020 3:26 PM
420158,7/23/2020 10:28 AM
507801,7/23/2020 9:00 AM
591390,7/23/2020 9:18 AM
606588,7/23/2020 9:29 AM
665086,7/23/2020 9:37 AM
669627,7/23/2020 10:23 AM
694716,7/23/2020 9:00 AM
714797,7/23/2020 9:13 AM
732603,7/23/2020 9:09 AM
743660,7/23/2020 9:36 AM
775530,7/23/2020 10:49 AM
783463,7/24/2020 2:14 AM
797934,7/23/2020 9:25 AM
809722,7/23/2020 9:01 AM
843563,7/23/2020 9:20 AM
850757,7/23/2020 9:11 AM
896818,7/23/2020 9:06 AM
924468,7/23/2020 9:00 AM
931936,7/23/2020 11:34 PM
959826,7/23/2020 9:23 AM
21317,7/23/2020 9:15 AM
27615,7/23/2020 9:02 AM
29169,7/23/2020 9:24 AM
324351,7/23/2020 9:02 AM
352738,7/23/2020 1:13 PM
375419,7/23/2020 10:18 AM
382149,7/23/2020 9:32 AM
384630,7/23/2020 9:31 AM
413314,7/23/2020 9:03 AM
427558,7/23/2020 4:02 PM
439700,7/25/2020 9:37 PM
