Subscriber Key,Time Opened
115256,8/20/2020 9:32 AM
121397,8/20/2020 10:45 AM
12291,8/20/2020 9:05 AM
12689,8/21/2020 2:41 PM
13324,8/20/2020 10:08 AM
142257,8/20/2020 4:36 PM
14312,8/20/2020 9:58 AM
14587,8/20/2020 9:00 AM
155926,8/20/2020 9:17 AM
180986,8/20/2020 9:28 AM
19777,8/20/2020 11:18 AM
20350,8/20/2020 9:25 AM
20987,8/20/2020 2:34 PM
21897,8/20/2020 10:43 AM
23273,8/20/2020 11:29 AM
244879,8/20/2020 9:50 AM
248747,8/20/2020 12:14 PM
254994,8/20/2020 10:19 AM
25874,8/20/2020 10:07 AM
270736,8/20/2020 9:41 AM
27419,8/20/2020 9:18 AM
275875,8/20/2020 2:37 PM
29158,8/20/2020 10:04 AM
294293,8/22/2020 11:05 PM
30381,8/20/2020 4:45 PM
310448,8/20/2020 9:06 AM
316768,8/20/2020 9:22 AM
318066,8/21/2020 7:47 PM
318687,8/20/2020 10:01 AM
32359,8/20/2020 9:40 AM
325840,8/20/2020 11:16 AM
328804,8/20/2020 9:25 AM
33217,8/20/2020 11:29 AM
332954,8/20/2020 1:57 PM
33442,8/20/2020 5:38 PM
34515,8/20/2020 1:36 PM
35212,8/20/2020 10:10 AM
35671,8/23/2020 4:15 AM
36009,8/20/2020 1:13 PM
37348,8/20/2020 10:50 AM
37990,8/20/2020 5:04 PM
382340,8/20/2020 9:10 AM
383525,8/20/2020 1:27 PM
390185,8/20/2020 9:48 AM
39681,8/20/2020 9:45 AM
397437,8/20/2020 10:44 AM
409896,8/20/2020 9:02 AM
411541,8/20/2020 6:48 PM
422194,8/20/2020 6:09 PM
438884,8/20/2020 10:07 PM
4431,8/20/2020 9:44 AM
449736,8/21/2020 10:30 PM
452963,8/20/2020 8:23 PM
4578,8/20/2020 9:04 AM
466834,8/20/2020 9:03 AM
47673,8/20/2020 10:07 AM
4769,8/20/2020 10:15 AM
482735,8/20/2020 10:28 AM
495455,8/20/2020 11:37 AM
522339,8/21/2020 3:16 PM
581269,8/23/2020 6:40 PM
582886,8/20/2020 11:02 AM
584644,8/20/2020 9:54 AM
588242,8/20/2020 9:02 AM
591948,8/20/2020 2:04 PM
59438,8/20/2020 12:10 PM
594999,8/20/2020 9:07 AM
614131,8/20/2020 9:02 AM
616567,8/20/2020 9:17 AM
6198,8/20/2020 9:36 AM
625176,8/20/2020 9:00 AM
628758,8/20/2020 9:40 AM
636202,8/20/2020 9:05 AM
657512,8/20/2020 9:11 AM
672216,8/20/2020 9:21 AM
67392,8/20/2020 2:29 PM
678272,8/21/2020 11:32 PM
692407,8/25/2020 1:05 AM
713275,8/20/2020 5:35 PM
719278,8/21/2020 11:43 AM
758512,8/20/2020 4:51 PM
769720,8/20/2020 9:01 AM
77386,8/20/2020 11:55 AM
827387,8/20/2020 9:01 AM
833816,8/20/2020 9:32 AM
871236,8/20/2020 9:45 AM
937021,8/20/2020 9:32 AM
98585,8/20/2020 9:29 AM
152290,9/4/2020 9:06 AM
3030846,8/20/2020 10:43 AM
3099409,8/20/2020 9:00 AM
3106654,8/25/2020 9:09 AM
3109816,8/20/2020 9:00 AM
3155360,8/21/2020 11:03 AM
3156286,8/20/2020 9:33 AM
3159875,8/20/2020 9:02 AM
3198806,8/20/2020 3:27 PM
3205898,8/20/2020 10:02 AM
3216594,8/20/2020 7:16 PM
958327,8/20/2020 11:15 AM
348869,8/20/2020 9:50 AM
401048,8/21/2020 4:31 AM
491665,8/20/2020 9:02 AM
51,8/20/2020 9:57 AM
630872,8/20/2020 9:33 AM
709799,8/20/2020 9:10 AM
818088,8/20/2020 10:45 AM
887193,8/20/2020 9:00 AM
973330,8/20/2020 9:20 AM
358123,8/23/2020 11:10 AM
398824,8/20/2020 9:19 AM
507801,8/20/2020 9:00 AM
591788,8/20/2020 9:03 AM
596999,8/20/2020 9:14 AM
606588,8/20/2020 9:27 AM
641944,8/20/2020 9:00 AM
669627,8/20/2020 10:45 AM
678622,8/21/2020 10:39 AM
685136,8/20/2020 9:57 AM
694153,8/20/2020 9:37 AM
694716,8/20/2020 9:00 AM
697580,8/20/2020 9:02 AM
701939,8/20/2020 9:19 AM
712446,8/20/2020 9:02 AM
718309,8/20/2020 9:14 AM
732603,8/20/2020 10:01 AM
734177,8/20/2020 9:21 AM
739032,8/20/2020 10:05 AM
775530,8/20/2020 1:23 PM
789868,8/20/2020 4:44 PM
803956,8/20/2020 9:00 AM
809722,8/20/2020 1:22 PM
814268,8/20/2020 9:01 AM
836833,8/20/2020 9:00 AM
849611,8/20/2020 9:00 AM
850757,8/20/2020 9:28 AM
871861,8/20/2020 9:00 AM
896818,8/20/2020 9:25 AM
902511,8/20/2020 9:49 AM
927301,8/20/2020 11:20 AM
931936,8/20/2020 6:55 PM
959826,8/20/2020 12:12 PM
17798,8/20/2020 10:36 AM
21317,8/20/2020 9:01 AM
227732,8/20/2020 10:12 AM
246670,8/20/2020 11:10 AM
27615,8/20/2020 9:06 AM
29169,8/20/2020 9:06 AM
305620,8/22/2020 9:31 PM
324351,8/20/2020 9:53 AM
347575,8/20/2020 9:01 AM
352738,8/20/2020 9:34 AM
364927,8/20/2020 9:15 AM
377919,8/23/2020 1:10 PM
382149,8/20/2020 9:04 AM
383627,8/20/2020 11:55 AM
396271,8/20/2020 9:01 AM
405057,8/20/2020 9:50 AM
427558,8/20/2020 10:56 AM
434950,8/20/2020 11:33 AM
439700,8/22/2020 6:06 PM
488914,8/20/2020 9:59 AM
915505,8/20/2020 9:36 AM
982901,8/20/2020 10:28 AM
1003226,8/31/2020 9:47 AM
1004254,8/20/2020 9:00 AM
1004278,8/20/2020 9:00 AM
1009043,8/20/2020 12:17 PM
101102,8/20/2020 1:05 PM
10135,8/21/2020 8:20 AM
10141,8/20/2020 9:22 AM
102404,8/20/2020 9:17 AM
10515,8/20/2020 9:21 AM
107670,8/20/2020 10:15 AM
107912,8/20/2020 10:08 AM
10893,8/20/2020 11:49 AM
10927,8/20/2020 10:56 AM
110526,8/20/2020 9:57 AM
114004,8/20/2020 9:48 AM
11412,8/20/2020 9:05 AM
116668,8/20/2020 9:43 AM
118898,8/20/2020 12:17 PM
119378,8/20/2020 9:00 AM
120166,8/20/2020 3:53 PM
122088,8/20/2020 11:50 AM
124694,8/20/2020 11:18 AM
125493,8/20/2020 9:50 AM
126274,8/20/2020 9:33 AM
126781,8/20/2020 10:10 AM
127148,8/20/2020 10:47 AM
127539,8/21/2020 12:58 AM
130889,8/20/2020 9:12 AM
131692,8/20/2020 10:57 AM
133008,8/20/2020 11:51 AM
133326,8/20/2020 9:00 AM
133445,8/20/2020 9:00 AM
134696,8/20/2020 9:45 AM
138370,8/20/2020 3:59 PM
138501,8/20/2020 3:50 PM
139117,8/20/2020 9:40 AM
141537,8/20/2020 9:02 AM
144645,8/20/2020 10:16 AM
145942,8/20/2020 11:52 AM
14692,8/20/2020 9:11 AM
15193,8/20/2020 9:13 AM
153011,8/20/2020 9:57 AM
155866,8/20/2020 5:54 PM
15682,8/20/2020 9:05 AM
15912,8/20/2020 9:20 AM
15986,8/20/2020 9:22 AM
163550,8/20/2020 9:19 AM
164541,8/20/2020 9:00 AM
165770,8/20/2020 10:02 AM
167685,8/20/2020 9:50 AM
169242,8/20/2020 10:06 AM
17033,8/20/2020 10:48 AM
172301,8/20/2020 9:15 AM
172964,8/20/2020 5:17 PM
173480,8/20/2020 2:21 PM
17603,8/20/2020 9:46 AM
186235,8/20/2020 9:02 AM
187709,8/20/2020 3:02 PM
18945,8/26/2020 2:45 PM
191736,8/20/2020 9:09 AM
19369,8/20/2020 9:10 AM
194799,8/20/2020 10:46 AM
19676,8/20/2020 9:39 AM
197124,8/26/2020 10:20 PM
198855,8/20/2020 9:03 AM
199720,8/20/2020 12:09 PM
201111,8/20/2020 11:12 AM
20208,8/20/2020 9:04 AM
203548,8/20/2020 12:59 PM
20424,8/20/2020 10:51 AM
204578,8/20/2020 9:00 AM
205101,8/20/2020 2:46 PM
208403,8/20/2020 8:47 PM
209233,8/20/2020 1:19 PM
209917,8/21/2020 10:01 AM
21165,8/20/2020 9:33 AM
212173,8/20/2020 9:48 AM
21241,8/20/2020 12:12 PM
213226,8/20/2020 2:01 PM
2134,8/20/2020 10:59 AM
214239,8/20/2020 9:48 AM
21528,8/20/2020 2:10 PM
21705,8/20/2020 10:23 AM
217497,8/20/2020 12:53 PM
217981,8/20/2020 9:21 AM
219339,8/20/2020 2:10 PM
219917,8/21/2020 3:35 PM
221208,8/20/2020 9:49 AM
22210,8/20/2020 10:20 AM
222645,8/20/2020 9:33 AM
224000,8/20/2020 9:23 AM
224308,8/20/2020 9:42 AM
224536,8/20/2020 12:25 PM
224942,8/20/2020 9:56 AM
226226,8/21/2020 8:16 AM
226459,8/20/2020 11:30 AM
227590,8/20/2020 4:27 PM
229391,8/21/2020 10:44 AM
231477,8/20/2020 10:41 AM
232250,8/20/2020 10:08 AM
232877,8/20/2020 8:02 PM
234046,8/20/2020 1:31 PM
23502,8/20/2020 9:50 AM
236767,8/20/2020 1:16 PM
237249,8/20/2020 12:00 PM
237967,8/20/2020 10:02 AM
238247,8/20/2020 10:11 AM
238547,8/20/2020 9:13 AM
239830,8/20/2020 10:58 AM
240137,8/20/2020 11:04 AM
240348,8/20/2020 9:04 AM
242247,8/20/2020 9:45 AM
243234,8/20/2020 5:11 PM
243441,8/20/2020 10:11 AM
244298,8/20/2020 10:03 PM
245527,8/20/2020 11:05 AM
247045,8/20/2020 9:22 AM
247877,8/20/2020 9:34 AM
248807,8/20/2020 2:23 PM
249755,8/20/2020 12:22 PM
25053,8/20/2020 9:22 AM
250944,8/20/2020 3:15 PM
251529,8/27/2020 1:49 PM
253704,8/20/2020 12:04 PM
25469,8/20/2020 9:17 AM
255001,8/20/2020 9:29 AM
256735,8/20/2020 9:51 AM
257655,8/20/2020 9:59 PM
259650,8/20/2020 9:46 AM
259743,8/20/2020 11:58 AM
261245,8/20/2020 9:37 AM
26153,8/20/2020 10:55 AM
26234,8/20/2020 2:59 PM
26262,8/20/2020 2:33 PM
263212,8/22/2020 11:06 AM
2653,8/20/2020 12:55 PM
265463,8/20/2020 9:01 AM
265481,8/20/2020 3:03 PM
265708,8/20/2020 10:18 AM
265884,8/20/2020 1:58 PM
266944,8/20/2020 9:51 AM
267659,8/20/2020 9:10 AM
268766,8/20/2020 6:57 PM
269313,8/20/2020 9:24 AM
269528,8/20/2020 9:43 AM
269967,8/20/2020 9:03 AM
271051,8/20/2020 9:01 AM
272488,8/20/2020 9:31 AM
272591,8/21/2020 8:04 AM
273101,8/20/2020 1:59 PM
273115,8/21/2020 3:45 PM
273854,8/21/2020 6:58 AM
27437,8/20/2020 9:28 AM
274687,8/20/2020 1:23 PM
275551,8/20/2020 9:05 AM
277212,8/20/2020 9:01 AM
278017,8/20/2020 11:05 AM
278897,8/20/2020 9:01 AM
280507,8/20/2020 9:58 AM
283322,8/20/2020 1:50 PM
284913,8/24/2020 5:21 PM
286520,8/20/2020 9:00 AM
287391,8/21/2020 10:07 AM
28984,8/20/2020 9:01 AM
290287,8/20/2020 12:17 PM
291286,8/20/2020 6:31 PM
29164,8/20/2020 3:37 PM
291703,8/20/2020 9:20 AM
292142,8/20/2020 9:12 AM
292378,8/20/2020 9:24 AM
292728,8/20/2020 10:52 AM
293452,8/20/2020 10:16 AM
293524,8/21/2020 5:32 PM
294261,8/20/2020 9:09 AM
294545,8/20/2020 1:42 PM
294715,8/20/2020 1:17 PM
294976,8/21/2020 5:27 PM
29528,8/20/2020 10:19 AM
297,8/20/2020 10:18 PM
297470,8/20/2020 12:45 PM
29849,8/20/2020 10:37 AM
299845,8/20/2020 9:01 AM
300080,8/20/2020 9:01 AM
300845,8/21/2020 6:30 AM
3010093,8/20/2020 9:44 AM
301401,8/20/2020 9:33 AM
301987,8/20/2020 2:10 PM
30233,8/21/2020 1:52 PM
302817,8/21/2020 6:55 AM
3030303,8/20/2020 10:08 AM
303457,8/20/2020 1:35 PM
304262,8/20/2020 9:44 AM
305144,8/20/2020 10:21 AM
3059,8/20/2020 9:32 AM
305936,8/20/2020 11:46 AM
306709,8/20/2020 11:48 AM
3068988,8/20/2020 9:00 AM
3071753,8/20/2020 9:16 AM
307347,8/20/2020 10:50 AM
3081577,8/20/2020 10:25 AM
308602,8/20/2020 9:58 AM
309141,8/20/2020 10:02 AM
309644,8/20/2020 9:06 AM
310294,8/20/2020 9:10 AM
310628,8/20/2020 11:12 AM
311069,8/20/2020 9:50 AM
312087,8/24/2020 9:23 AM
312894,8/21/2020 7:42 AM
313678,8/20/2020 4:56 PM
314060,8/20/2020 9:01 AM
314605,8/29/2020 8:15 PM
314995,8/20/2020 9:14 AM
315511,8/20/2020 9:55 AM
316291,8/23/2020 4:15 PM
317115,8/20/2020 10:23 PM
317880,8/22/2020 8:39 AM
318655,8/20/2020 12:21 PM
318704,8/20/2020 10:37 AM
318841,8/21/2020 12:14 AM
319434,8/20/2020 9:39 AM
319802,8/20/2020 10:03 AM
32014,8/20/2020 11:27 AM
320683,8/20/2020 9:07 AM
321004,8/20/2020 12:17 PM
321616,8/22/2020 7:44 PM
322216,8/20/2020 10:13 AM
322297,8/20/2020 9:27 AM
323035,8/20/2020 9:13 AM
323233,8/20/2020 12:53 PM
323473,8/24/2020 11:45 AM
323722,8/20/2020 9:26 AM
323863,8/20/2020 9:34 AM
323933,8/21/2020 1:58 PM
324279,8/20/2020 9:06 AM
32441,8/20/2020 9:25 AM
324498,8/20/2020 1:55 PM
324649,8/20/2020 9:25 AM
324663,8/20/2020 12:12 PM
324850,8/20/2020 12:25 PM
324948,8/20/2020 12:28 PM
325180,8/22/2020 12:35 PM
325999,8/20/2020 1:49 PM
326846,8/20/2020 9:38 AM
327825,8/20/2020 10:09 AM
328601,8/20/2020 8:16 PM
329501,8/20/2020 9:02 AM
330395,8/20/2020 9:02 AM
330804,8/20/2020 10:30 AM
331424,8/27/2020 11:55 AM
33405,8/20/2020 9:14 AM
335643,8/20/2020 10:19 AM
336826,8/20/2020 11:25 AM
337109,8/23/2020 11:59 AM
344851,8/21/2020 4:21 PM
345312,8/20/2020 9:01 AM
349085,8/20/2020 11:32 AM
349199,8/20/2020 11:57 AM
352706,9/3/2020 8:34 PM
35720,8/20/2020 9:19 PM
357701,8/20/2020 9:01 AM
358350,8/20/2020 11:20 AM
361194,8/20/2020 1:45 PM
364467,8/20/2020 9:34 AM
36468,8/20/2020 9:07 AM
366034,8/20/2020 12:32 PM
367369,8/20/2020 9:02 AM
3678,8/20/2020 9:09 AM
367820,8/20/2020 9:01 AM
368099,8/24/2020 5:19 AM
369497,8/20/2020 9:18 AM
36954,8/20/2020 9:04 AM
370769,8/20/2020 9:03 AM
370931,8/20/2020 9:34 AM
37118,8/20/2020 3:17 PM
371833,8/20/2020 9:26 PM
372263,8/20/2020 9:13 AM
372607,8/20/2020 9:06 AM
374263,8/20/2020 9:31 AM
374625,8/20/2020 11:30 AM
376197,8/24/2020 1:37 PM
378277,8/20/2020 9:24 AM
378404,8/20/2020 5:02 PM
378438,8/20/2020 9:12 AM
378449,8/21/2020 6:07 AM
378540,8/20/2020 12:27 PM
378593,8/21/2020 7:46 AM
379604,8/20/2020 11:32 AM
380428,8/20/2020 2:36 PM
380676,8/20/2020 9:03 AM
381204,8/20/2020 11:03 PM
381349,8/20/2020 9:44 AM
381632,8/20/2020 10:12 AM
382306,8/20/2020 9:01 AM
383089,8/20/2020 9:07 AM
384246,8/20/2020 10:26 AM
385819,8/20/2020 11:55 AM
386569,8/20/2020 10:39 AM
388709,8/20/2020 9:44 AM
389421,8/20/2020 10:03 AM
389664,8/20/2020 9:06 AM
390022,8/20/2020 9:06 AM
