Subscriber Key,Time Opened
622632,7/25/2020 6:58 AM
276411,7/23/2020 10:36 AM
521107,7/23/2020 9:02 AM
1003901,7/23/2020 9:01 AM
1006,7/24/2020 5:25 PM
10082,7/23/2020 10:41 PM
1011243,7/23/2020 10:00 AM
1016655,7/23/2020 9:26 AM
105702,7/23/2020 11:35 AM
10726,7/23/2020 9:27 AM
10800,7/23/2020 7:55 PM
10845,7/23/2020 9:06 AM
10863,7/23/2020 11:24 AM
10864,7/23/2020 10:18 AM
109420,7/23/2020 10:22 AM
11046,7/23/2020 9:01 AM
110711,7/23/2020 10:33 AM
11206,7/23/2020 9:06 AM
114021,7/23/2020 9:21 AM
11426,7/23/2020 12:29 PM
11457,7/23/2020 8:46 PM
115256,7/25/2020 9:13 AM
11577,7/23/2020 12:08 PM
11659,7/23/2020 9:18 AM
117380,7/23/2020 10:10 AM
11880,7/23/2020 5:09 PM
1196,7/23/2020 9:08 AM
1207,7/23/2020 9:31 AM
12229,7/23/2020 11:07 AM
123169,7/23/2020 9:55 AM
123859,7/23/2020 10:34 AM
124190,7/23/2020 10:32 AM
124503,7/23/2020 10:24 AM
12484,7/23/2020 9:10 AM
124987,7/23/2020 8:54 PM
125581,7/23/2020 2:27 PM
12615,7/23/2020 10:19 AM
12813,7/23/2020 5:18 PM
129150,7/24/2020 9:46 AM
130139,7/23/2020 9:09 PM
130847,7/23/2020 8:11 PM
132677,7/23/2020 9:36 AM
13278,7/23/2020 9:10 AM
13361,7/24/2020 8:25 AM
133676,7/24/2020 10:59 AM
1339,7/23/2020 5:18 PM
1347,7/23/2020 9:20 AM
13684,7/23/2020 10:46 AM
137482,7/23/2020 11:01 AM
13883,7/23/2020 9:27 AM
139563,7/23/2020 9:25 AM
14312,7/23/2020 12:04 PM
14422,7/23/2020 9:06 AM
14464,7/23/2020 12:04 PM
144723,7/23/2020 1:15 PM
148135,7/23/2020 4:51 PM
148313,7/23/2020 11:50 AM
149416,7/23/2020 12:43 PM
15029,7/23/2020 12:49 PM
15058,7/23/2020 9:02 AM
15131,7/23/2020 9:01 AM
152387,7/23/2020 9:44 AM
154372,7/23/2020 9:45 AM
15493,7/23/2020 11:26 AM
15614,7/23/2020 2:56 PM
15615,7/24/2020 5:54 AM
15687,7/23/2020 4:01 PM
15892,7/23/2020 12:04 PM
15928,7/23/2020 9:32 AM
160091,7/24/2020 3:45 AM
16069,7/23/2020 9:30 AM
16115,7/23/2020 10:12 AM
162067,7/23/2020 9:10 AM
16331,7/23/2020 9:19 AM
16406,7/24/2020 10:24 AM
1652,7/23/2020 11:36 PM
166506,7/23/2020 10:53 AM
16853,7/23/2020 1:35 PM
169438,7/23/2020 10:24 AM
17153,7/23/2020 9:03 AM
17369,7/23/2020 10:47 AM
17429,7/23/2020 9:01 AM
176372,7/23/2020 12:05 PM
17684,7/23/2020 9:03 AM
17728,7/23/2020 9:41 AM
17758,7/23/2020 4:17 PM
179755,7/23/2020 9:02 AM
18046,7/23/2020 9:01 AM
18171,7/23/2020 9:07 AM
184996,7/23/2020 1:55 PM
186764,7/23/2020 10:23 AM
187584,7/23/2020 2:24 PM
18930,7/23/2020 9:29 AM
190465,7/23/2020 9:40 AM
19146,7/23/2020 10:50 PM
193356,7/23/2020 12:39 PM
193417,7/23/2020 9:39 AM
19388,7/23/2020 9:03 AM
194304,7/23/2020 9:38 AM
194596,7/23/2020 10:05 AM
19494,7/23/2020 10:12 AM
19546,7/23/2020 9:08 AM
19641,7/23/2020 9:01 AM
19804,7/23/2020 11:12 AM
19872,7/23/2020 2:11 PM
20133,7/23/2020 9:27 AM
201857,7/23/2020 10:39 AM
202937,7/23/2020 10:07 AM
203413,7/23/2020 10:56 AM
204361,7/23/2020 12:47 PM
20569,7/23/2020 12:29 PM
20619,7/23/2020 12:07 PM
206893,7/23/2020 11:59 AM
20914,7/23/2020 9:38 AM
209824,7/23/2020 10:45 AM
210537,7/23/2020 2:40 PM
211186,8/3/2020 11:37 AM
21208,7/23/2020 10:59 AM
212445,7/23/2020 9:07 AM
21366,7/28/2020 12:02 AM
215159,7/23/2020 10:08 AM
21631,7/23/2020 9:40 AM
21738,7/23/2020 9:58 AM
218317,7/23/2020 2:47 PM
21974,7/23/2020 10:35 AM
22081,7/23/2020 9:02 AM
22121,7/23/2020 10:06 AM
22154,7/23/2020 9:16 AM
22183,7/23/2020 2:49 PM
22242,7/23/2020 10:02 PM
22326,7/23/2020 9:32 AM
22390,7/23/2020 10:39 AM
224851,7/23/2020 10:19 AM
224901,7/23/2020 9:16 AM
224998,7/23/2020 4:00 PM
22569,8/15/2020 2:59 PM
226235,7/24/2020 8:03 AM
226256,7/23/2020 11:30 AM
226574,7/23/2020 3:15 PM
227645,7/23/2020 5:28 PM
22893,7/27/2020 8:19 AM
230699,7/23/2020 10:29 AM
23127,7/23/2020 9:03 AM
231709,7/23/2020 3:40 PM
233360,7/23/2020 12:48 PM
233899,7/23/2020 9:03 AM
23531,7/23/2020 2:03 PM
23552,7/23/2020 9:06 AM
23616,7/30/2020 11:33 PM
236919,7/23/2020 9:02 AM
237265,7/23/2020 12:32 PM
237708,7/23/2020 9:04 AM
238013,7/23/2020 10:24 AM
238552,7/23/2020 2:35 PM
23897,7/23/2020 9:17 AM
239797,7/23/2020 9:13 AM
240045,7/23/2020 9:38 AM
240350,7/23/2020 3:58 PM
242310,7/23/2020 9:17 AM
24247,7/23/2020 9:01 AM
242549,7/23/2020 11:12 AM
243775,7/23/2020 11:26 AM
244799,7/23/2020 9:03 AM
24495,7/23/2020 9:10 AM
245343,7/27/2020 6:51 PM
246284,7/23/2020 9:08 AM
246926,7/23/2020 9:30 PM
247812,7/24/2020 1:43 PM
248329,7/23/2020 9:52 AM
248481,7/23/2020 9:32 AM
249477,7/23/2020 10:15 PM
249882,7/24/2020 3:51 PM
252576,7/23/2020 9:04 AM
25317,7/23/2020 9:03 AM
253641,7/23/2020 11:51 AM
253677,7/23/2020 9:07 AM
254564,7/23/2020 9:02 AM
254812,7/23/2020 10:13 PM
254994,7/23/2020 3:53 PM
256170,7/23/2020 11:21 AM
257537,7/23/2020 5:13 PM
257851,7/23/2020 9:04 AM
25855,7/23/2020 9:57 AM
259070,7/23/2020 12:54 PM
260,7/23/2020 12:19 PM
261247,7/23/2020 9:13 PM
26209,7/23/2020 9:08 AM
262785,7/23/2020 11:42 AM
263469,7/23/2020 11:14 AM
263828,7/24/2020 6:28 PM
264604,7/23/2020 9:17 AM
26484,7/23/2020 3:20 PM
265,7/23/2020 10:27 AM
265893,7/26/2020 12:40 PM
267642,7/23/2020 9:10 AM
268142,7/23/2020 10:41 AM
269126,7/23/2020 9:18 AM
27008,7/23/2020 4:43 PM
270736,7/23/2020 11:18 AM
271179,7/24/2020 12:23 PM
271767,7/23/2020 9:04 AM
272162,7/23/2020 1:32 PM
272965,7/29/2020 10:46 PM
27433,7/23/2020 9:23 AM
275343,7/23/2020 11:20 AM
275875,7/23/2020 10:08 AM
275949,7/23/2020 9:26 AM
276447,7/23/2020 5:27 PM
276799,7/23/2020 9:10 AM
27726,7/23/2020 9:15 AM
27919,7/23/2020 3:00 PM
279591,7/23/2020 10:07 AM
28005,7/23/2020 11:35 AM
28052,7/23/2020 9:44 AM
28491,7/23/2020 9:39 AM
28622,7/23/2020 9:06 AM
288315,7/23/2020 7:02 PM
289627,7/23/2020 2:02 PM
290292,7/28/2020 8:42 PM
290740,7/23/2020 9:17 AM
290969,7/23/2020 9:31 AM
291275,7/23/2020 2:11 PM
29149,7/23/2020 9:18 AM
291520,7/23/2020 9:01 AM
291735,7/23/2020 10:32 AM
291949,8/2/2020 6:29 AM
292766,7/23/2020 12:45 PM
293450,7/23/2020 9:03 AM
293566,7/23/2020 10:44 AM
294082,7/23/2020 9:10 AM
294442,7/24/2020 9:32 AM
295634,7/23/2020 10:23 AM
296573,7/23/2020 10:29 AM
29780,7/23/2020 9:35 AM
29812,7/23/2020 9:07 AM
299626,7/23/2020 10:46 AM
3012831,7/23/2020 10:00 AM
3015215,7/23/2020 9:01 AM
30217,7/23/2020 11:15 AM
303362,7/23/2020 11:04 AM
30381,7/23/2020 5:52 PM
30463,7/23/2020 9:18 AM
3050,7/23/2020 9:23 AM
3054246,7/23/2020 9:01 AM
306749,7/24/2020 1:06 AM
30737,7/23/2020 6:18 PM
308204,7/23/2020 9:08 AM
308491,7/23/2020 9:03 AM
3092178,7/23/2020 9:41 AM
309328,7/23/2020 10:04 AM
309876,7/23/2020 9:03 AM
310345,7/27/2020 8:16 PM
310448,7/23/2020 10:19 AM
3110547,7/23/2020 9:03 AM
311352,7/23/2020 10:27 AM
