Subscriber Key,Time Opened
110471,4/6/2020 12:34
115256,4/7/2020 10:11
1207,4/6/2020 11:22
126133,4/6/2020 13:09
13223,4/6/2020 9:33
142257,4/6/2020 9:35
144297,4/6/2020 10:16
149416,4/6/2020 11:18
151273,4/6/2020 9:31
1721,6/6/2020 19:28
18507,4/7/2020 17:43
194596,4/6/2020 20:54
19819,4/6/2020 11:04
20569,4/6/2020 9:36
21302,4/6/2020 15:43
224219,4/7/2020 0:38
244879,4/6/2020 10:59
248747,4/6/2020 9:32
25464,4/6/2020 9:35
25765,4/6/2020 13:35
267642,4/6/2020 9:37
275505,4/6/2020 9:43
289650,4/6/2020 10:02
3010677,4/15/2020 2:27
3109243,4/6/2020 10:14
314864,4/6/2020 11:42
316768,4/6/2020 9:51
317439,4/6/2020 9:36
318577,4/6/2020 13:07
320610,4/6/2020 11:01
325840,4/6/2020 9:52
327056,4/6/2020 10:20
327095,4/6/2020 9:30
329072,4/6/2020 9:30
329998,4/6/2020 9:45
332954,4/6/2020 9:41
33442,4/6/2020 13:04
34380,4/7/2020 18:14
35157,4/6/2020 9:34
35494,4/6/2020 11:28
36938,4/7/2020 22:56
37348,4/6/2020 12:03
375572,4/6/2020 9:33
37683,4/6/2020 9:46
380795,4/6/2020 11:31
383190,4/30/2020 19:59
389804,4/6/2020 10:48
395691,4/6/2020 9:54
395937,4/6/2020 9:32
39718,4/7/2020 12:20
406595,4/6/2020 10:29
411541,4/6/2020 10:40
416739,4/9/2020 11:12
422194,4/6/2020 13:50
432087,4/15/2020 1:10
438884,4/6/2020 15:32
454369,4/6/2020 12:05
4578,4/7/2020 11:42
475744,4/6/2020 12:48
476769,4/6/2020 13:30
478373,4/6/2020 23:29
482735,4/6/2020 16:32
491195,4/6/2020 16:33
491963,4/6/2020 10:00
495455,4/6/2020 9:36
51592,4/6/2020 15:10
518080,4/6/2020 9:36
522339,4/6/2020 20:01
579090,4/10/2020 14:34
582260,4/6/2020 10:25
582886,4/6/2020 11:06
588242,4/6/2020 10:44
589745,4/6/2020 9:33
592567,4/6/2020 9:38
610172,4/8/2020 14:57
614097,4/6/2020 9:42
614465,4/6/2020 10:00
617878,4/6/2020 22:09
6193,4/6/2020 9:30
622573,4/6/2020 9:48
633650,4/6/2020 15:46
636403,4/6/2020 9:30
645594,4/6/2020 9:38
664653,4/6/2020 9:33
673476,4/6/2020 9:50
678272,4/6/2020 14:59
692407,4/6/2020 23:45
704982,4/6/2020 9:31
713275,4/6/2020 10:29
726300,4/6/2020 9:45
749900,4/6/2020 9:58
763832,4/6/2020 9:36
772712,4/6/2020 9:40
774940,4/6/2020 10:51
78820,4/7/2020 22:42
833816,4/6/2020 19:23
86363,4/6/2020 10:21
8823,4/6/2020 10:28
9375,4/6/2020 10:32
98585,4/6/2020 11:29
152290,4/6/2020 14:07
912182,4/6/2020 11:24
3105563,4/9/2020 2:25
3108839,4/6/2020 12:10
3156046,4/6/2020 9:30
3159301,4/6/2020 10:55
3166010,4/6/2020 10:05
3208162,4/6/2020 10:16
1011716,4/12/2020 10:07
131679,5/3/2020 9:04
178652,4/8/2020 17:53
348869,4/6/2020 9:39
401048,4/6/2020 9:35
471682,4/6/2020 9:33
491942,4/6/2020 9:44
51,4/6/2020 20:24
680876,4/7/2020 8:58
711608,4/6/2020 9:37
826084,4/6/2020 9:56
882055,4/6/2020 13:29
892328,4/6/2020 23:29
934155,4/6/2020 9:30
957652,4/6/2020 9:36
973330,4/6/2020 10:05
3042754,4/6/2020 9:30
427127,4/7/2020 6:52
471112,4/6/2020 16:57
507801,4/6/2020 9:30
594134,4/6/2020 9:39
596999,4/6/2020 9:42
641944,4/6/2020 9:30
665086,4/6/2020 9:34
678483,4/7/2020 6:55
694153,4/6/2020 9:31
701939,4/6/2020 9:41
718309,4/6/2020 9:42
723766,4/6/2020 9:50
789868,4/6/2020 11:19
810769,4/6/2020 9:37
829502,4/6/2020 11:49
849611,4/6/2020 9:30
873320,4/6/2020 15:24
902511,4/6/2020 9:34
931936,4/6/2020 22:28
959826,4/6/2020 10:05
21317,4/6/2020 9:30
27615,4/6/2020 9:47
29169,4/6/2020 10:27
305620,4/6/2020 9:36
324351,4/6/2020 9:36
347575,4/6/2020 9:53
352738,4/8/2020 12:18
382149,4/6/2020 9:36
396271,4/6/2020 14:30
422235,4/7/2020 15:43
48610,4/6/2020 10:08
502960,4/6/2020 9:30
915505,4/6/2020 10:42
992755,4/7/2020 5:58
1003637,4/6/2020 10:09
1007674,4/7/2020 15:06
101102,4/6/2020 10:53
10135,4/6/2020 9:37
102404,4/6/2020 10:42
109005,4/6/2020 13:51
109871,4/6/2020 11:35
113499,4/6/2020 9:37
114004,4/6/2020 11:00
114691,4/6/2020 22:53
118814,4/6/2020 11:04
119214,4/6/2020 10:03
120166,4/6/2020 10:12
12089,4/6/2020 9:42
12233,4/7/2020 12:36
122820,4/6/2020 17:28
123401,4/6/2020 10:40
123619,4/6/2020 10:01
123897,4/6/2020 11:10
125073,4/6/2020 13:21
12514,4/6/2020 10:36
12520,4/6/2020 10:06
125505,4/6/2020 12:55
126255,4/6/2020 22:56
126585,4/6/2020 9:34
126850,4/6/2020 15:17
12734,4/6/2020 18:57
12753,4/6/2020 10:24
127940,4/6/2020 9:46
1287,4/6/2020 9:59
130092,6/3/2020 16:02
131692,4/6/2020 11:32
132827,4/6/2020 22:54
133008,4/6/2020 12:28
133445,4/6/2020 9:30
137883,4/6/2020 10:01
138370,4/6/2020 10:22
13861,4/6/2020 16:40
139624,4/6/2020 9:52
141537,4/6/2020 14:33
142522,4/6/2020 9:31
14378,4/6/2020 14:06
145942,4/6/2020 21:53
146513,4/6/2020 12:39
149402,4/6/2020 14:00
15001,4/6/2020 10:37
150274,4/7/2020 11:33
15247,4/6/2020 9:36
154184,4/6/2020 10:16
156490,4/7/2020 1:21
157518,4/6/2020 10:56
15771,4/6/2020 10:02
15881,4/6/2020 10:34
15912,4/6/2020 10:26
15945,4/6/2020 10:32
163550,4/6/2020 9:33
164341,4/6/2020 9:50
16547,4/6/2020 11:26
166555,4/7/2020 21:42
16725,4/6/2020 10:06
168575,4/6/2020 14:01
169105,4/6/2020 16:20
170062,4/6/2020 10:40
171698,4/6/2020 12:35
172636,4/6/2020 11:32
173101,4/6/2020 10:23
173480,4/6/2020 11:17
17394,4/6/2020 11:09
17729,4/6/2020 14:32
18136,4/6/2020 18:15
181606,4/6/2020 9:47
182031,4/7/2020 3:58
183945,4/6/2020 10:10
184274,4/6/2020 10:55
186235,4/6/2020 9:37
18702,4/6/2020 9:32
187845,4/7/2020 10:18
189299,4/6/2020 10:22
190085,4/6/2020 11:20
19177,4/6/2020 9:43
192499,4/6/2020 11:21
19369,4/6/2020 9:33
194532,4/6/2020 14:50
195498,4/6/2020 13:23
197124,4/6/2020 14:12
199032,4/6/2020 9:51
200468,4/6/2020 10:57
201892,4/6/2020 10:01
20221,4/6/2020 13:46
204094,4/6/2020 19:34
204253,4/7/2020 5:03
204578,4/6/2020 9:30
205048,4/6/2020 10:25
205101,4/6/2020 11:26
206122,5/27/2020 18:26
208403,4/12/2020 14:14
20860,4/6/2020 13:18
20917,4/6/2020 9:36
20937,4/6/2020 15:46
210311,4/6/2020 9:31
211376,4/6/2020 10:07
2121,4/6/2020 9:30
213111,4/6/2020 10:14
214239,4/6/2020 23:17
217290,4/6/2020 10:19
21767,4/6/2020 9:46
218010,4/7/2020 8:20
219108,4/6/2020 9:47
219460,4/6/2020 10:06
219917,4/7/2020 8:12
221308,4/9/2020 13:17
22210,4/6/2020 9:40
222459,4/6/2020 10:05
222683,4/6/2020 10:25
224308,4/6/2020 9:41
224536,4/6/2020 9:33
224554,4/6/2020 9:56
22603,4/6/2020 20:30
226459,4/6/2020 12:59
227462,4/6/2020 9:31
229391,4/6/2020 10:13
23099,4/6/2020 10:48
232250,4/6/2020 12:41
233281,4/6/2020 15:51
234056,4/6/2020 12:23
23494,4/6/2020 14:15
235095,4/6/2020 14:44
237116,4/6/2020 9:42
237234,4/6/2020 11:34
237575,4/6/2020 11:00
238000,4/6/2020 9:43
238247,4/6/2020 10:18
238345,4/6/2020 9:37
239217,4/6/2020 10:52
240130,4/6/2020 10:43
240226,4/6/2020 14:09
240468,4/6/2020 10:45
240481,4/7/2020 8:26
240862,4/18/2020 15:05
241092,4/6/2020 11:11
241699,4/6/2020 9:39
242247,4/6/2020 9:30
242292,4/6/2020 9:31
243234,4/6/2020 14:40
243441,4/6/2020 9:53
243964,4/6/2020 10:52
244094,4/6/2020 12:44
244298,4/6/2020 10:35
245434,4/6/2020 10:37
245576,4/6/2020 9:30
245987,4/6/2020 10:31
247045,4/6/2020 9:32
247556,4/10/2020 7:45
248068,4/6/2020 10:13
25053,4/6/2020 11:47
250744,4/6/2020 10:08
251157,4/6/2020 13:41
251846,4/6/2020 13:50
25264,4/6/2020 13:08
253376,4/6/2020 12:27
254235,4/6/2020 9:31
254974,4/6/2020 12:08
256735,4/6/2020 10:21
258161,4/6/2020 17:58
25967,4/6/2020 10:23
259743,4/6/2020 12:22
260235,4/6/2020 9:36
261046,4/6/2020 9:52
261850,4/6/2020 9:36
262447,4/6/2020 11:05
263212,4/6/2020 18:13
263800,4/6/2020 11:37
264068,4/6/2020 11:14
265263,4/6/2020 19:03
265467,4/6/2020 9:47
265780,4/6/2020 9:35
266303,4/6/2020 13:53
267097,4/6/2020 9:54
2681,4/6/2020 9:35
269313,4/6/2020 9:36
269586,4/9/2020 12:12
270358,4/6/2020 9:37
270375,7/4/2020 9:02
272488,4/6/2020 10:00
272510,4/6/2020 9:37
272853,4/6/2020 9:35
273101,4/6/2020 20:17
273115,4/13/2020 9:57
27322,4/6/2020 10:05
273854,4/6/2020 13:41
273995,4/6/2020 10:02
27405,4/6/2020 11:24
27437,4/6/2020 9:53
274687,4/6/2020 10:20
274864,4/6/2020 10:02
275551,4/6/2020 10:50
27605,4/6/2020 17:37
276155,4/6/2020 9:38
276161,4/6/2020 11:58
276872,4/6/2020 11:48
277212,4/6/2020 9:30
277370,4/6/2020 9:41
277673,4/6/2020 9:31
278017,4/6/2020 10:55
278158,4/6/2020 9:50
278862,4/6/2020 9:32
278897,4/6/2020 10:29
279035,4/6/2020 10:29
279294,4/6/2020 9:41
279385,4/6/2020 9:30
279944,4/6/2020 9:43
28075,4/6/2020 9:53
28214,4/6/2020 9:46
283322,4/6/2020 18:46
28385,4/6/2020 9:49
284913,4/7/2020 11:40
287039,4/6/2020 10:44
287269,4/6/2020 10:09
287391,4/7/2020 1:24
287888,4/6/2020 9:35
288016,4/6/2020 11:17
288995,4/6/2020 10:26
289345,4/6/2020 11:30
28984,4/6/2020 9:30
289996,4/6/2020 10:24
290240,4/6/2020 9:50
290276,4/6/2020 16:49
290287,4/6/2020 9:50
290361,4/6/2020 16:51
290869,4/6/2020 10:04
291117,4/6/2020 16:10
291286,4/6/2020 19:15
291539,4/6/2020 9:30
29164,4/6/2020 11:35
291643,4/6/2020 9:35
291954,4/6/2020 15:49
292142,4/6/2020 9:37
292662,4/6/2020 9:38
292728,4/6/2020 9:57
293352,4/6/2020 9:36
293452,4/6/2020 11:25
29363,4/6/2020 17:18
293849,4/6/2020 9:33
294154,4/6/2020 9:32
294261,4/6/2020 10:13
294545,4/6/2020 15:37
294605,4/6/2020 13:20
294715,4/13/2020 13:17
294893,4/6/2020 10:58
295109,4/6/2020 11:11
29528,4/6/2020 9:57
295645,4/6/2020 10:26
297,4/7/2020 16:17
29806,4/6/2020 10:27
298418,4/6/2020 9:40
299027,4/6/2020 16:42
300080,4/6/2020 9:43
3010093,4/6/2020 9:43
301059,4/6/2020 10:41
301401,4/6/2020 9:40
301456,4/6/2020 9:43
301987,4/6/2020 10:50
302995,4/6/2020 9:33
303160,4/6/2020 9:31
303221,4/6/2020 12:05
304090,4/8/2020 10:51
304561,4/6/2020 9:37
3059311,4/6/2020 11:21
306709,4/6/2020 9:31
3071366,4/6/2020 13:58
307347,4/6/2020 15:59
307768,4/6/2020 9:32
3081577,4/6/2020 10:27
308558,4/6/2020 9:58
30911,4/6/2020 9:34
30942,4/6/2020 10:18
310254,4/6/2020 10:00
310368,4/6/2020 9:58
310568,4/13/2020 10:59
3109,4/6/2020 12:58
311272,4/6/2020 12:10
311906,4/6/2020 10:06
312087,4/6/2020 14:02
312986,4/6/2020 9:45
313466,4/6/2020 10:44
313748,4/6/2020 9:45
314238,4/11/2020 7:28
314995,4/6/2020 9:30
315302,4/6/2020 10:44
315316,4/6/2020 15:12
316062,4/7/2020 12:44
316501,4/6/2020 9:38
3177531,5/12/2020 18:27
318675,4/6/2020 9:34
318801,4/6/2020 10:47
319311,4/6/2020 9:54
319434,4/6/2020 9:39
319810,4/6/2020 10:45
320173,4/6/2020 12:52
320404,4/6/2020 9:40
320625,4/6/2020 20:45
320852,4/6/2020 12:25
321239,4/6/2020 9:44
321616,4/9/2020 21:43
322489,4/6/2020 12:14
3234,4/8/2020 14:24
323722,4/6/2020 10:26
324279,4/7/2020 9:33
324498,4/6/2020 14:41
324663,4/6/2020 9:57
325035,4/12/2020 10:18
325180,4/6/2020 9:32
325694,4/6/2020 9:47
326846,4/6/2020 9:31
327050,4/6/2020 10:09
328496,4/6/2020 9:53
329037,4/6/2020 10:07
329501,4/6/2020 9:32
329963,4/6/2020 10:05
330462,4/7/2020 12:53
331417,4/7/2020 6:43
333086,4/6/2020 9:58
333230,4/8/2020 15:37
333315,4/6/2020 12:57
335067,4/7/2020 7:13
335619,4/6/2020 9:49
335798,4/6/2020 11:02
337109,4/6/2020 12:09
337298,4/6/2020 9:30
337608,4/6/2020 9:41
33829,4/6/2020 9:57
339120,4/10/2020 11:34
339181,4/6/2020 9:54
33985,4/6/2020 9:36
341117,4/6/2020 11:30
34235,4/6/2020 11:03
343264,4/6/2020 11:19
343704,4/6/2020 16:09
343768,4/6/2020 12:30
343912,4/12/2020 17:51
344004,4/6/2020 9:33
345651,4/6/2020 10:28
347593,4/6/2020 11:10
348710,4/6/2020 13:38
349085,4/6/2020 10:23
350708,4/6/2020 9:31
353357,5/14/2020 12:27
353479,4/6/2020 9:34
353972,4/6/2020 11:14
35720,4/6/2020 9:52
357701,4/6/2020 9:30
